,symbol,acc,name,term_type,full_name
0,ADH1A,GO:0006066,alcohol metabolic process,biological_process,Alcohol dehydrogenase 1A
1,ADH1A,GO:0006069,ethanol oxidation,biological_process,Alcohol dehydrogenase 1A
2,ADH1A,GO:0017144,drug metabolic process,biological_process,Alcohol dehydrogenase 1A
3,ADH1A,GO:0055114,oxidation-reduction process,biological_process,Alcohol dehydrogenase 1A
4,ADH1A,GO:0005737,cytoplasm,cellular_component,Alcohol dehydrogenase 1A
5,ADH1A,GO:0005829,cytosol,cellular_component,Alcohol dehydrogenase 1A
6,ADH1A,GO:0004022,alcohol dehydrogenase (NAD) activity,molecular_function,Alcohol dehydrogenase 1A
7,ADH1A,GO:0004024,"alcohol dehydrogenase activity, zinc-dependent",molecular_function,Alcohol dehydrogenase 1A
8,ADH1A,GO:0004745,retinol dehydrogenase activity,molecular_function,Alcohol dehydrogenase 1A
9,ADH1A,GO:0005515,protein binding,molecular_function,Alcohol dehydrogenase 1A
10,ADH1A,GO:0008270,zinc ion binding,molecular_function,Alcohol dehydrogenase 1A
11,ADH1A,GO:0016491,oxidoreductase activity,molecular_function,Alcohol dehydrogenase 1A
12,ADH1A,GO:0046872,metal ion binding,molecular_function,Alcohol dehydrogenase 1A
13,ADH1B,GO:0006069,ethanol oxidation,biological_process,Alcohol dehydrogenase 1B
14,ADH1B,GO:0055114,oxidation-reduction process,biological_process,Alcohol dehydrogenase 1B
15,ADH1B,GO:0055114,oxidation-reduction process,biological_process,"Alcohol dehydrogenase IB (Class I), beta polypeptide, isoform CRA_a"
16,ADH1B,GO:0005737,cytoplasm,cellular_component,Alcohol dehydrogenase 1B
17,ADH1B,GO:0005829,cytosol,cellular_component,Alcohol dehydrogenase 1B
18,ADH1B,GO:0004022,alcohol dehydrogenase (NAD) activity,molecular_function,Alcohol dehydrogenase 1B
19,ADH1B,GO:0004024,"alcohol dehydrogenase activity, zinc-dependent",molecular_function,Alcohol dehydrogenase 1B
20,ADH1B,GO:0008270,zinc ion binding,molecular_function,Alcohol dehydrogenase 1B
21,ADH1B,GO:0008270,zinc ion binding,molecular_function,"Alcohol dehydrogenase IB (Class I), beta polypeptide, isoform CRA_a"
22,ADH1B,GO:0016491,oxidoreductase activity,molecular_function,Alcohol dehydrogenase 1B
23,ADH1B,GO:0016491,oxidoreductase activity,molecular_function,"Alcohol dehydrogenase IB (Class I), beta polypeptide, isoform CRA_a"
24,ADH1B,GO:0046872,metal ion binding,molecular_function,Alcohol dehydrogenase 1B
25,ADH1C,GO:0006069,ethanol oxidation,biological_process,Alcohol dehydrogenase 1C
26,ADH1C,GO:0055114,oxidation-reduction process,biological_process,Alcohol dehydrogenase 1C
27,ADH1C,GO:0005737,cytoplasm,cellular_component,Alcohol dehydrogenase 1C
28,ADH1C,GO:0005829,cytosol,cellular_component,Alcohol dehydrogenase 1C
29,ADH1C,GO:0004022,alcohol dehydrogenase (NAD) activity,molecular_function,Alcohol dehydrogenase 1C
30,ADH1C,GO:0004024,"alcohol dehydrogenase activity, zinc-dependent",molecular_function,Alcohol dehydrogenase 1C
31,ADH1C,GO:0004745,retinol dehydrogenase activity,molecular_function,Alcohol dehydrogenase 1C
32,ADH1C,GO:0008270,zinc ion binding,molecular_function,Alcohol dehydrogenase 1C
33,ADH1C,GO:0016491,oxidoreductase activity,molecular_function,Alcohol dehydrogenase 1C
34,ADH1C,GO:0046872,metal ion binding,molecular_function,Alcohol dehydrogenase 1C
35,ADH4,GO:0001523,retinoid metabolic process,biological_process,Alcohol dehydrogenase 4
36,ADH4,GO:0006066,alcohol metabolic process,biological_process,Alcohol dehydrogenase 4
37,ADH4,GO:0006067,ethanol metabolic process,biological_process,Alcohol dehydrogenase 4
38,ADH4,GO:0006069,ethanol oxidation,biological_process,Alcohol dehydrogenase 4
39,ADH4,GO:0006069,ethanol oxidation,biological_process,"Alcohol dehydrogenase 4 (Class II), pi polypeptide, isoform CRA_a"
40,ADH4,GO:0006081,cellular aldehyde metabolic process,biological_process,Alcohol dehydrogenase 4
41,ADH4,GO:0042572,retinol metabolic process,biological_process,Alcohol dehydrogenase 4
42,ADH4,GO:0046164,alcohol catabolic process,biological_process,Alcohol dehydrogenase 4
43,ADH4,GO:0055114,oxidation-reduction process,biological_process,Alcohol dehydrogenase 4
44,ADH4,GO:0055114,oxidation-reduction process,biological_process,"Alcohol dehydrogenase 4 (Class II), pi polypeptide, isoform CRA_a"
45,ADH4,GO:1901661,quinone metabolic process,biological_process,Alcohol dehydrogenase 4
46,ADH4,GO:0005737,cytoplasm,cellular_component,Alcohol dehydrogenase 4
47,ADH4,GO:0005829,cytosol,cellular_component,Alcohol dehydrogenase 4
48,ADH4,GO:0003960,NADPH:quinone reductase activity,molecular_function,Alcohol dehydrogenase 4
49,ADH4,GO:0004022,alcohol dehydrogenase (NAD) activity,molecular_function,Alcohol dehydrogenase 4
50,ADH4,GO:0004024,"alcohol dehydrogenase activity, zinc-dependent",molecular_function,Alcohol dehydrogenase 4
51,ADH4,GO:0004024,"alcohol dehydrogenase activity, zinc-dependent",molecular_function,"Alcohol dehydrogenase 4 (Class II), pi polypeptide, isoform CRA_a"
52,ADH4,GO:0004032,alditol:NADP+ 1-oxidoreductase activity,molecular_function,Alcohol dehydrogenase 4
53,ADH4,GO:0004745,retinol dehydrogenase activity,molecular_function,Alcohol dehydrogenase 4
54,ADH4,GO:0005503,all-trans retinal binding,molecular_function,Alcohol dehydrogenase 4
55,ADH4,GO:0008270,zinc ion binding,molecular_function,Alcohol dehydrogenase 4
56,ADH4,GO:0008270,zinc ion binding,molecular_function,"Alcohol dehydrogenase 4 (Class II), pi polypeptide, isoform CRA_a"
57,ADH4,GO:0016491,oxidoreductase activity,molecular_function,Alcohol dehydrogenase 4
58,ADH4,GO:0016491,oxidoreductase activity,molecular_function,"Alcohol dehydrogenase 4 (Class II), pi polypeptide, isoform CRA_a"
59,ADH4,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",molecular_function,Alcohol dehydrogenase 4
60,ADH4,GO:0019115,benzaldehyde dehydrogenase activity,molecular_function,Alcohol dehydrogenase 4
61,ADH4,GO:0019841,retinol binding,molecular_function,Alcohol dehydrogenase 4
62,ADH4,GO:0035276,ethanol binding,molecular_function,Alcohol dehydrogenase 4
63,ADH4,GO:0035276,ethanol binding,molecular_function,"Alcohol dehydrogenase 4 (Class II), pi polypeptide, isoform CRA_a"
64,ADH4,GO:0046872,metal ion binding,molecular_function,Alcohol dehydrogenase 4
65,ADH4,GO:0046872,metal ion binding,molecular_function,"Alcohol dehydrogenase 4 (Class II), pi polypeptide, isoform CRA_a"
66,ADH4,GO:0051287,NAD binding,molecular_function,Alcohol dehydrogenase 4
67,ADH5,GO:0001523,retinoid metabolic process,biological_process,Alcohol dehydrogenase class-3
68,ADH5,GO:0001523,retinoid metabolic process,biological_process,S-(hydroxymethyl)glutathione dehydrogenase
69,ADH5,GO:0003016,respiratory system process,biological_process,Alcohol dehydrogenase class-3
70,ADH5,GO:0003016,respiratory system process,biological_process,S-(hydroxymethyl)glutathione dehydrogenase
71,ADH5,GO:0006069,ethanol oxidation,biological_process,Alcohol dehydrogenase class-3
72,ADH5,GO:0006069,ethanol oxidation,biological_process,S-(hydroxymethyl)glutathione dehydrogenase
73,ADH5,GO:0018119,peptidyl-cysteine S-nitrosylation,biological_process,Alcohol dehydrogenase class-3
74,ADH5,GO:0018119,peptidyl-cysteine S-nitrosylation,biological_process,S-(hydroxymethyl)glutathione dehydrogenase
75,ADH5,GO:0032496,response to lipopolysaccharide,biological_process,Alcohol dehydrogenase class-3
76,ADH5,GO:0032496,response to lipopolysaccharide,biological_process,S-(hydroxymethyl)glutathione dehydrogenase
