,symbol,acc,name,term_type,full_name
0,AFF4,GO:0006351,"transcription, DNA-templated",biological_process,AF4/FMR2 family member 4
1,AFF4,GO:0006355,"regulation of transcription, DNA-templated",biological_process,AF4/FMR2 family member 4
2,AFF4,GO:0006366,transcription from RNA polymerase II promoter,biological_process,AF4/FMR2 family member 4
3,AFF4,GO:0007286,spermatid development,biological_process,AF4/FMR2 family member 4
4,AFF4,GO:0005634,nucleus,cellular_component,AF4/FMR2 family member 4
5,AFF4,GO:0008023,transcription elongation factor complex,cellular_component,AF4/FMR2 family member 4
6,AFF4,GO:0035327,transcriptionally active chromatin,cellular_component,AF4/FMR2 family member 4
7,AFF4,GO:0003700,"transcription factor activity, sequence-specific DNA binding",molecular_function,AF4/FMR2 family member 4
8,AFF4,GO:0005515,protein binding,molecular_function,AF4/FMR2 family member 4
9,ASB6,GO:0016567,protein ubiquitination,biological_process,Ankyrin repeat and SOCS box protein 6
10,ASB6,GO:0035556,intracellular signal transduction,biological_process,Ankyrin repeat and SOCS box protein 6
11,ASB6,GO:0005622,intracellular,cellular_component,Ankyrin repeat and SOCS box protein 6
12,ASB6,GO:0005737,cytoplasm,cellular_component,Ankyrin repeat and SOCS box protein 6
13,ASB6,GO:0005515,protein binding,molecular_function,Ankyrin repeat and SOCS box protein 6
14,BBX,GO:0006351,"transcription, DNA-templated",biological_process,HMG box transcription factor BBX
15,BBX,GO:0006355,"regulation of transcription, DNA-templated",biological_process,HMG box transcription factor BBX
16,BBX,GO:0060348,bone development,biological_process,HMG box transcription factor BBX
17,BBX,GO:0005634,nucleus,cellular_component,HMG box transcription factor BBX
18,BBX,GO:0005654,nucleoplasm,cellular_component,HMG box transcription factor BBX
19,BBX,GO:0005737,cytoplasm,cellular_component,HMG box transcription factor BBX
20,BBX,GO:0003677,DNA binding,molecular_function,HMG box transcription factor BBX
21,C9orf106,GO:0005515,protein binding,molecular_function,Chromosome 9 open reading frame 106
22,C9orf78,GO:0005654,nucleoplasm,cellular_component,Uncharacterized protein C9orf78
23,C9orf78,GO:0005737,cytoplasm,cellular_component,Uncharacterized protein C9orf78
24,C9orf78,GO:0005515,protein binding,molecular_function,Uncharacterized protein C9orf78
25,CACNA2D1,GO:0006810,transport,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
26,CACNA2D1,GO:0006811,ion transport,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
27,CACNA2D1,GO:0006816,calcium ion transport,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
28,CACNA2D1,GO:0034765,regulation of ion transmembrane transport,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
29,CACNA2D1,GO:0051924,regulation of calcium ion transport,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
30,CACNA2D1,GO:0060307,regulation of ventricular cardiac muscle cell membrane repolarization,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
31,CACNA2D1,GO:0060402,calcium ion transport into cytosol,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
32,CACNA2D1,GO:0061337,cardiac conduction,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
33,CACNA2D1,GO:0061337,cardiac conduction,biological_process,Dihydropyridine receptor alpha 2 subunit
34,CACNA2D1,GO:0061577,calcium ion transmembrane transport via high voltage-gated calcium channel,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
35,CACNA2D1,GO:0070588,calcium ion transmembrane transport,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
36,CACNA2D1,GO:0086002,cardiac muscle cell action potential involved in contraction,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
37,CACNA2D1,GO:0086012,membrane depolarization during cardiac muscle cell action potential,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
38,CACNA2D1,GO:0086091,regulation of heart rate by cardiac conduction,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
39,CACNA2D1,GO:0098903,regulation of membrane repolarization during action potential,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
40,CACNA2D1,GO:1901843,positive regulation of high voltage-gated calcium channel activity,biological_process,Voltage-dependent calcium channel subunit alpha-2/delta-1
41,CACNA2D1,GO:0005886,plasma membrane,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
42,CACNA2D1,GO:0005886,plasma membrane,cellular_component,Dihydropyridine receptor alpha 2 subunit
43,CACNA2D1,GO:0005891,voltage-gated calcium channel complex,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
44,CACNA2D1,GO:0016020,membrane,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
45,CACNA2D1,GO:0016021,integral component of membrane,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
46,CACNA2D1,GO:0016529,sarcoplasmic reticulum,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
47,CACNA2D1,GO:0030315,T-tubule,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
48,CACNA2D1,GO:0070062,extracellular exosome,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
49,CACNA2D1,GO:1990454,L-type voltage-gated calcium channel complex,cellular_component,Voltage-dependent calcium channel subunit alpha-2/delta-1
50,CACNA2D1,GO:0005244,voltage-gated ion channel activity,molecular_function,Voltage-dependent calcium channel subunit alpha-2/delta-1
51,CACNA2D1,GO:0005245,voltage-gated calcium channel activity,molecular_function,Voltage-dependent calcium channel subunit alpha-2/delta-1
52,CACNA2D1,GO:0005262,calcium channel activity,molecular_function,Voltage-dependent calcium channel subunit alpha-2/delta-1
53,CACNA2D1,GO:0046872,metal ion binding,molecular_function,Voltage-dependent calcium channel subunit alpha-2/delta-1
54,CACNA2D1,GO:0086007,voltage-gated calcium channel activity involved in cardiac muscle cell action potential,molecular_function,Voltage-dependent calcium channel subunit alpha-2/delta-1
55,CASR,GO:0001503,ossification,biological_process,Extracellular calcium-sensing receptor
56,CASR,GO:0002931,response to ischemia,biological_process,Extracellular calcium-sensing receptor
57,CASR,GO:0005513,detection of calcium ion,biological_process,Extracellular calcium-sensing receptor
58,CASR,GO:0006816,calcium ion transport,biological_process,Extracellular calcium-sensing receptor
59,CASR,GO:0006874,cellular calcium ion homeostasis,biological_process,Extracellular calcium-sensing receptor
60,CASR,GO:0006915,apoptotic process,biological_process,Extracellular calcium-sensing receptor
61,CASR,GO:0007165,signal transduction,biological_process,Extracellular calcium-sensing receptor
62,CASR,GO:0007186,G-protein coupled receptor signaling pathway,biological_process,Extracellular calcium-sensing receptor
63,CASR,GO:0007186,G-protein coupled receptor signaling pathway,biological_process,Calcium sensing receptor
64,CASR,GO:0007193,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,biological_process,Extracellular calcium-sensing receptor
65,CASR,GO:0007200,phospholipase C-activating G-protein coupled receptor signaling pathway,biological_process,Extracellular calcium-sensing receptor
66,CASR,GO:0007254,JNK cascade,biological_process,Extracellular calcium-sensing receptor
67,CASR,GO:0007635,chemosensory behavior,biological_process,Extracellular calcium-sensing receptor
68,CASR,GO:0008284,positive regulation of cell proliferation,biological_process,Extracellular calcium-sensing receptor
69,CASR,GO:0009653,anatomical structure morphogenesis,biological_process,Extracellular calcium-sensing receptor
70,CASR,GO:0010038,response to metal ion,biological_process,Extracellular calcium-sensing receptor
71,CASR,GO:0010628,positive regulation of gene expression,biological_process,Extracellular calcium-sensing receptor
72,CASR,GO:0014070,response to organic cyclic compound,biological_process,Extracellular calcium-sensing receptor
73,CASR,GO:0032024,positive regulation of insulin secretion,biological_process,Extracellular calcium-sensing receptor
74,CASR,GO:0032781,positive regulation of ATPase activity,biological_process,Extracellular calcium-sensing receptor
75,CASR,GO:0035729,cellular response to hepatocyte growth factor stimulus,biological_process,Extracellular calcium-sensing receptor
76,CASR,GO:0042311,vasodilation,biological_process,Extracellular calcium-sensing receptor
77,CASR,GO:0045907,positive regulation of vasoconstriction,biological_process,Extracellular calcium-sensing receptor
78,CASR,GO:0048754,branching morphogenesis of an epithelial tube,biological_process,Extracellular calcium-sensing receptor
79,CASR,GO:0050927,positive regulation of positive chemotaxis,biological_process,Extracellular calcium-sensing receptor
80,CASR,GO:0051592,response to calcium ion,biological_process,Extracellular calcium-sensing receptor
81,CASR,GO:0051924,regulation of calcium ion transport,biological_process,Extracellular calcium-sensing receptor
82,CASR,GO:0060613,fat pad development,biological_process,Extracellular calcium-sensing receptor
83,CASR,GO:0070509,calcium ion import,biological_process,Extracellular calcium-sensing receptor
84,CASR,GO:0071305,cellular response to vitamin D,biological_process,Extracellular calcium-sensing receptor
85,CASR,GO:0071333,cellular response to glucose stimulus,biological_process,Extracellular calcium-sensing receptor
86,CASR,GO:0071404,cellular response to low-density lipoprotein particle stimulus,biological_process,Extracellular calcium-sensing receptor
87,CASR,GO:0071456,cellular response to hypoxia,biological_process,Extracellular calcium-sensing receptor
88,CASR,GO:0071774,response to fibroblast growth factor,biological_process,Extracellular calcium-sensing receptor
89,CASR,GO:0090280,positive regulation of calcium ion import,biological_process,Extracellular calcium-sensing receptor
90,CASR,GO:1901653,cellular response to peptide,biological_process,Extracellular calcium-sensing receptor
91,CASR,GO:0005634,nucleus,cellular_component,Extracellular calcium-sensing receptor
92,CASR,GO:0005737,cytoplasm,cellular_component,Extracellular calcium-sensing receptor
93,CASR,GO:0005886,plasma membrane,cellular_component,Extracellular calcium-sensing receptor
94,CASR,GO:0005887,integral component of plasma membrane,cellular_component,Extracellular calcium-sensing receptor
95,CASR,GO:0009986,cell surface,cellular_component,Extracellular calcium-sensing receptor
96,CASR,GO:0016020,membrane,cellular_component,Extracellular calcium-sensing receptor
97,CASR,GO:0016020,membrane,cellular_component,Calcium sensing receptor
98,CASR,GO:0016021,integral component of membrane,cellular_component,Extracellular calcium-sensing receptor
99,CASR,GO:0016021,integral component of membrane,cellular_component,Calcium sensing receptor
100,CASR,GO:0016323,basolateral plasma membrane,cellular_component,Extracellular calcium-sensing receptor
101,CASR,GO:0016324,apical plasma membrane,cellular_component,Extracellular calcium-sensing receptor
102,CASR,GO:0030424,axon,cellular_component,Extracellular calcium-sensing receptor
103,CASR,GO:0043005,neuron projection,cellular_component,Extracellular calcium-sensing receptor
104,CASR,GO:0043025,neuronal cell body,cellular_component,Extracellular calcium-sensing receptor
105,CASR,GO:0043679,axon terminus,cellular_component,Extracellular calcium-sensing receptor
106,CASR,GO:0000287,magnesium ion binding,molecular_function,Extracellular calcium-sensing receptor
107,CASR,GO:0004435,phosphatidylinositol phospholipase C activity,molecular_function,Extracellular calcium-sensing receptor
108,CASR,GO:0004871,signal transducer activity,molecular_function,Extracellular calcium-sensing receptor
109,CASR,GO:0004930,G-protein coupled receptor activity,molecular_function,Extracellular calcium-sensing receptor
110,CASR,GO:0004930,G-protein coupled receptor activity,molecular_function,Calcium sensing receptor
111,CASR,GO:0005178,integrin binding,molecular_function,Extracellular calcium-sensing receptor
112,CASR,GO:0005509,calcium ion binding,molecular_function,Extracellular calcium-sensing receptor
113,CASR,GO:0005515,protein binding,molecular_function,Extracellular calcium-sensing receptor
114,CASR,GO:0008144,drug binding,molecular_function,Extracellular calcium-sensing receptor
115,CASR,GO:0019808,polyamine binding,molecular_function,Extracellular calcium-sensing receptor
116,CASR,GO:0019901,protein kinase binding,molecular_function,Extracellular calcium-sensing receptor
117,CASR,GO:0044325,ion channel binding,molecular_function,Extracellular calcium-sensing receptor
118,CCDC58,GO:0005739,mitochondrion,cellular_component,Coiled-coil domain-containing protein 58
119,CRAT,GO:0006629,lipid metabolic process,biological_process,Carnitine O-acetyltransferase
120,CRAT,GO:0006631,fatty acid metabolic process,biological_process,Carnitine O-acetyltransferase
121,CRAT,GO:0006810,transport,biological_process,Carnitine O-acetyltransferase
122,CRAT,GO:0019254,"carnitine metabolic process, CoA-linked",biological_process,Carnitine O-acetyltransferase
123,CRAT,GO:0033540,fatty acid beta-oxidation using acyl-CoA oxidase,biological_process,Carnitine O-acetyltransferase
124,CRAT,GO:0005739,mitochondrion,cellular_component,Carnitine O-acetyltransferase
125,CRAT,GO:0005743,mitochondrial inner membrane,cellular_component,Carnitine O-acetyltransferase
126,CRAT,GO:0005777,peroxisome,cellular_component,Carnitine O-acetyltransferase
