chromosome,region_start,region_end
1.0,233701039.0,234182358.0
2.0,27494950.0,27968903.0
2.0,52614434.0,53088386.0
2.0,91004588.0,98587829.0
2.0,94796209.0,98587829.0
2.0,94796209.0,96692019.0
2.0,95744114.0,96692019.0
2.0,96218067.0,96692019.0
2.0,96692019.0,98587829.0
2.0,97639924.0,98587829.0
2.0,97639924.0,98113877.0
2.0,200013670.0,200961575.0
3.0,22222250.0,22611482.0
3.0,36623822.0,37402285.0
3.0,36623822.0,37013054.0
3.0,198154965.0,198544196.0
5.0,45066523.0,50688671.0
5.0,49283134.0,49985903.0
5.0,49283134.0,49634519.0
5.0,49634519.0,49985903.0
5.0,61932966.0,62635735.0
6.0,2749378.0,3413070.0
10.0,37848441.0,38112496.0
10.0,101485854.0,105710745.0
10.0,101485854.0,101749910.0
10.0,107295079.0,107559135.0
11.0,16970650.0,18019534.0
13.0,82213272.0,82588521.0
14.0,46620106.0,49335396.0
14.0,47298929.0,47977751.0
14.0,50353630.0,50693041.0
15.0,79573513.0,84680062.0
16.0,44363434.0,66531816.0
16.0,48520006.0,49212768.0
16.0,51983816.0,52330197.0
16.0,63068007.0,63760769.0
16.0,63068007.0,63414388.0
16.0,72766674.0,73113055.0
16.0,88007436.0,88700197.0
16.0,88353817.0,88700197.0
17.0,47930677.0,48237902.0
