chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	0.73	6.1253e-05	0.1821	66986.0
1	742584	123960278.0	0.6661	0.0008	0.1996	34616.0
1	742584	62351431.0	1.0836	0.0001	0.2828	16631.0
1	742584	31547008.0	1.105	0.0004	0.312	7756.0
1	742584	16144796.0	1.4007	0.0005	0.4046	3608.0
1	742584	8443690.0	1.5073	0.0007	0.4437	1889.0
1	742584	4593137.0	0	0	nan	726.0
1	4593137.0	8443690.0	1.23	9.8414e-05	0.3158	1163.0
1	4593137.0	6518414.0	1.3671	0.0194	0.5846	607.0
1	4593137.0	5555776.0	0	0	nan	378.0
1	5555776.0	6518414.0	3.019	0.1033	1.8533	229.0
1	5555776.0	6037095.0	0	0	nan	152.0
1	6037095.0	6518414.0	1.0708	3.3664e-05	0.2582	77.0
1	6518414.0	8443690.0	1.9052	0.0859	1.1094	556.0
1	6518414.0	7481052.0	0	0	nan	337.0
1	7481052.0	8443690.0	1.2564	0.0501	0.6414	219.0
1	7481052.0	7962371.0	0	0	nan	135.0
1	7962371.0	8443690.0	1.2089	1.2058e-07	0.2284	84.0
1	8443690.0	16144796.0	0	0	nan	1719.0
1	16144796.0	31547008.0	1.0902	0.2404	0.9286	4148.0
1	16144796.0	23845902.0	0	0	nan	2259.0
1	23845902.0	31547008.0	0	0	nan	1889.0
1	31547008.0	62351431.0	0.8775	0.0312	0.4073	8875.0
1	31547008.0	46949220.0	0.5143	0.219	0.4184	4145.0
1	31547008.0	39248114.0	0.4671	0.1391	0.3158	1914.0
1	31547008.0	35397561.0	0.8386	0.0244	0.3727	957.0
1	31547008.0	33472285.0	0.4156	0.0039	0.1438	332.0
1	31547008.0	32509647.0	-0.076	0.6012	0.1455	179.0
1	31547008.0	32028328.0	-0.0726	0.7085	0.1943	167.0
1	32028328.0	32509647.0	0	0	nan	12.0
1	32509647.0	33472285.0	1.1371	0.0746	0.6377	153.0
1	32509647.0	32990966.0	0	0	nan	37.0
1	32990966.0	33472285.0	0.7569	0.002	0.2449	116.0
1	33472285.0	35397561.0	0	0	nan	625.0
1	35397561.0	39248114.0	0.2696	0.6372	0.5717	957.0
1	35397561.0	37322838.0	2.0527	0.055	1.0696	373.0
1	35397561.0	36360200.0	0	0	nan	139.0
1	36360200.0	37322838.0	0	0	nan	234.0
1	37322838.0	39248114.0	-1.7038	0.2006	1.3312	584.0
1	37322838.0	38285476.0	0	0	nan	292.0
1	38285476.0	39248114.0	0	0	nan	292.0
1	39248114.0	46949220.0	-0.2802	0.7169	0.7727	2231.0
1	39248114.0	43098667.0	0	0	nan	1129.0
1	43098667.0	46949220.0	0	0	nan	1102.0
1	46949220.0	62351431.0	1.307	0.051	0.6697	4730.0
1	46949220.0	54650326.0	-0.359	0.7097	0.9644	1862.0
1	46949220.0	50799773.0	-1.302	0.4924	1.8966	1059.0
1	46949220.0	48874497.0	0	0	nan	673.0
1	48874497.0	50799773.0	-0.927	0.0156	0.3833	386.0
1	48874497.0	49837135.0	-1.5744	1.8828e-07	0.3021	234.0
1	48874497.0	49355816.0	-1.6493	0.0007	0.4887	164.0
1	49355816.0	49837135.0	0	0	nan	70.0
1	49837135.0	50799773.0	0.1191	0.469	0.1644	152.0
1	49837135.0	50318454.0	0	0	nan	56.0
1	50318454.0	50799773.0	0.2722	0.0995	0.1652	96.0
1	50799773.0	54650326.0	-0.0646	0.9332	0.7706	803.0
1	50799773.0	52725050.0	0	0	nan	251.0
1	52725050.0	54650326.0	-0.2136	0.7142	0.5833	552.0
1	52725050.0	53687688.0	0	0	nan	282.0
1	53687688.0	54650326.0	-1.0205	0.2044	0.8041	270.0
1	53687688.0	54169007.0	-1.4042	0.0704	0.7762	163.0
1	54169007.0	54650326.0	1.1315	0.2087	0.9	107.0
1	54650326.0	62351431.0	1.7591	0.0301	0.8112	2868.0
1	54650326.0	58500879.0	0.7714	0.6238	1.5731	1650.0
1	54650326.0	56575603.0	-0.648	0.1636	0.4651	786.0
1	54650326.0	55612965.0	-0.7562	0.3766	0.8553	321.0
1	54650326.0	55131646.0	2.3698	0.5375	3.8436	140.0
1	55131646.0	55612965.0	-3.0291	0.3693	3.374	181.0
1	55612965.0	56575603.0	0	0	nan	465.0
1	56575603.0	58500879.0	0	0	nan	864.0
1	58500879.0	62351431.0	2.0201	0.0037	0.6953	1218.0
1	58500879.0	60426155.0	0	0	nan	682.0
1	60426155.0	62351431.0	2.1365	0.005	0.7603	536.0
1	60426155.0	61388793.0	2.645	0.0273	1.1984	274.0
1	60426155.0	60907474.0	1.0722	3.5621e-05	0.2593	116.0
1	60907474.0	61388793.0	0	0	nan	158.0
1	61388793.0	62351431.0	0	0	nan	262.0
1	62351431.0	123960278.0	0.3742	0.0987	0.2266	17985.0
1	62351431.0	93155855.0	0.0886	0.8351	0.4257	9656.0
1	62351431.0	77753643.0	-1.0679	0.7319	3.1164	4884.0
1	62351431.0	70052537.0	-3.3562	0.3722	3.7607	2689.0
1	62351431.0	66201984.0	-0.7865	0.1529	0.5503	1338.0
1	62351431.0	64276708.0	-2.1249	0.4133	2.5975	653.0
1	62351431.0	63314070.0	-1.3136	0.0697	0.7242	340.0
1	62351431.0	62832751.0	-0.8484	0.5558	1.4401	164.0
1	62832751.0	63314070.0	0	0	nan	176.0
1	63314070.0	64276708.0	0	0	nan	313.0
1	64276708.0	66201984.0	0	0	nan	685.0
1	66201984.0	70052537.0	0	0	nan	1351.0
1	70052537.0	77753643.0	0	0	nan	2195.0
1	77753643.0	93155855.0	0.7369	0.1521	0.5145	4772.0
1	77753643.0	85454749.0	0.5465	0.1874	0.4146	2408.0
1	77753643.0	81604196.0	0.2737	0.2166	0.2215	1154.0
1	77753643.0	79678920.0	0.3035	0.1468	0.2092	540.0
1	77753643.0	78716282.0	-0.2702	0.1167	0.1722	254.0
1	77753643.0	78234963.0	-0.9345	0.0006	0.2738	129.0
1	78234963.0	78716282.0	0	0	nan	125.0
1	78716282.0	79678920.0	0	0	nan	286.0
1	79678920.0	81604196.0	0	0	nan	614.0
1	81604196.0	85454749.0	0	0	nan	1254.0
1	85454749.0	93155855.0	1.3664	0.5893	2.5307	2364.0
1	85454749.0	89305302.0	0	0	nan	1263.0
