chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	0	0	nan	62854.0
2	5703	242669396	-0.5215	0.0448	0.2599	66490.0
2	5703	121337549.0	-0.1807	0.5144	0.2771	34219.0
2	5703	60671626.0	-0.1966	0.6809	0.478	20035.0
2	5703	30338665.0	0	0	nan	9241.0
2	30338665.0	60671626.0	0.3892	0.3254	0.3958	10794.0
2	30338665.0	45505146.0	0	0	nan	5219.0
2	45505146.0	60671626.0	0.6449	0.3115	0.6373	5575.0
2	45505146.0	53088386.0	0.0564	0.8203	0.2484	2762.0
2	45505146.0	49296766.0	-0.5187	0.0853	0.3014	1294.0
2	45505146.0	47400956.0	0	0	nan	762.0
2	47400956.0	49296766.0	-0.5282	0.0211	0.2291	532.0
2	47400956.0	48348861.0	0	0	nan	159.0
2	48348861.0	49296766.0	-0.5769	0.0035	0.1977	373.0
2	48348861.0	48822814.0	0	0	nan	141.0
2	48822814.0	49296766.0	-5.5824	0.4194	6.9129	232.0
2	49296766.0	53088386.0	0	0	nan	1468.0
2	53088386.0	60671626.0	0	0	nan	2813.0
2	60671626.0	121337549.0	-0.3234	0.4247	0.4051	14184.0
2	60671626.0	91004588.0	-0.1572	0.6016	0.301	7769.0
2	60671626.0	75838107.0	0.1116	0.712	0.3022	4356.0
2	60671626.0	68254867.0	1.0267	0.0545	0.5339	2235.0
2	60671626.0	64463247.0	0	0	nan	902.0
2	64463247.0	68254867.0	0.1894	0.7557	0.6087	1333.0
2	64463247.0	66359057.0	1.1882	0.4695	1.6427	605.0
2	64463247.0	65411152.0	0.4053	0.5389	0.6595	190.0
2	64463247.0	64937200.0	1.0813	0.1494	0.7499	104.0
2	64937200.0	65411152.0	0	0	nan	86.0
2	65411152.0	66359057.0	1.0592	0.0878	0.6204	415.0
2	65411152.0	65885105.0	0	0	nan	171.0
2	65885105.0	66359057.0	0	0	nan	244.0
2	66359057.0	68254867.0	0	0	nan	728.0
