chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	758311	247177973	1.0733	0.4076	1.2961	64666.0
1	758311	123968142.0	0.6764	0.1094	0.4225	33460.0
1	758311	62363227.0	0	0	nan	15881.0
1	62363227.0	123968142.0	0.5706	0.1155	0.3625	17579.0
1	62363227.0	93165685.0	0.5297	0.531	0.8454	9441.0
1	62363227.0	77764456.0	0	0	nan	4694.0
1	77764456.0	93165685.0	0	0	nan	4747.0
1	93165685.0	123968142.0	0.605	0.1088	0.3773	8138.0
1	93165685.0	108566914.0	0.9775	0.1195	0.6278	4615.0
1	93165685.0	100866300.0	1.3356	0.2452	1.1494	2621.0
1	93165685.0	97015993.0	1.8477	0.1828	1.3868	1336.0
1	93165685.0	95090839.0	-0.3812	0.8258	1.7322	606.0
1	93165685.0	94128262.0	-0.0455	0.8128	0.1921	246.0
1	93165685.0	93646974.0	0	0	nan	117.0
1	93646974.0	94128262.0	-0.503	0.0441	0.2499	129.0
1	94128262.0	95090839.0	0	0	nan	360.0
1	95090839.0	97015993.0	4.5595	0.3651	5.0347	730.0
1	95090839.0	96053416.0	0	0	nan	379.0
1	96053416.0	97015993.0	0.302	0.7157	0.8293	351.0
1	96053416.0	96534705.0	-3.2201	0.3952	3.7875	197.0
1	96534705.0	97015993.0	1.2899	0.0012	0.3972	154.0
1	97015993.0	100866300.0	1.894	0.528	3.0015	1285.0
1	97015993.0	98941147.0	0	0	nan	592.0
1	98941147.0	100866300.0	0	0	nan	693.0
1	100866300.0	108566914.0	0.9686	0.2246	0.7976	1994.0
1	100866300.0	104716607.0	0	0	nan	997.0
1	104716607.0	108566914.0	0.2538	0.3365	0.2641	997.0
1	104716607.0	106641761.0	0	0	nan	354.0
1	106641761.0	108566914.0	1.0084	0.2062	0.7977	643.0
1	106641761.0	107604338.0	0	0	nan	255.0
1	107604338.0	108566914.0	0.9291	0.0171	0.3897	388.0
1	107604338.0	108085626.0	0	0	nan	187.0
1	108085626.0	108566914.0	0.6264	0.001	0.19	201.0
1	108566914.0	123968142.0	-0.3219	0.5453	0.5322	3523.0
1	108566914.0	116267528.0	-0.2354	0.7632	0.7815	2423.0
1	108566914.0	112417221.0	0	0	nan	1271.0
1	112417221.0	116267528.0	0	0	nan	1152.0
1	116267528.0	123968142.0	-0.3474	0.6212	0.703	1100.0
1	116267528.0	120117835.0	0	0	nan	1046.0
1	120117835.0	123968142.0	0	0	nan	54.0
1	123968142.0	247177973	0	0	nan	31206.0
2	5703	242669396	0.7673	0.1824	0.5754	68492.0
2	5703	121337549.0	0.7102	0.1178	0.454	35176.0
2	5703	60671626.0	0	0	nan	20611.0
2	60671626.0	121337549.0	0.2768	0.4915	0.4023	14565.0
2	60671626.0	91004588.0	0	0	nan	7930.0
2	91004588.0	121337549.0	-0.1425	0.7232	0.4023	6635.0
2	91004588.0	106171069.0	0.1503	0.4853	0.2153	2885.0
2	91004588.0	98587829.0	0.9789	0.0784	0.5562	482.0
2	91004588.0	94796209.0	0	0	nan	nan
2	94796209.0	98587829.0	0.9789	0.0784	0.5562	482.0
2	94796209.0	96692019.0	0.7026	0.0035	0.2405	179.0
2	94796209.0	95744114.0	0	0	nan	69.0
2	95744114.0	96692019.0	0.8845	0.0005	0.2556	110.0
2	95744114.0	96218067.0	1.569	0.0039	0.5435	38.0
2	96218067.0	96692019.0	0.9234	0.0627	0.4961	72.0
2	96692019.0	98587829.0	0.8924	0.1161	0.5679	303.0
2	96692019.0	97639924.0	0	0	nan	80.0
2	97639924.0	98587829.0	0	0	nan	223.0
2	98587829.0	106171069.0	0.0025	0.9931	0.2886	2403.0
2	106171069.0	121337549.0	0	0	nan	3750.0
2	121337549.0	242669396	0	0	nan	33316.0
3	36044	199322659	0.2253	0.2252	0.1858	56356.0
3	36044	99679351.0	0.3203	0.1514	0.2233	28531.0
3	36044	49857698.0	0.0612	0.816	0.2629	15824.0
3	36044	24946871.0	-0.017	0.9557	0.3049	8635.0
3	36044	12491458.0	0.2113	0.5739	0.3758	4663.0
3	36044	6263751.0	0.2448	0.5979	0.4642	2353.0
3	36044	3149898.0	0.6185	0.1177	0.3953	1188.0
3	36044	1592971.0	0	0	nan	582.0
3	1592971.0	3149898.0	0.5806	0.0514	0.2981	606.0
3	1592971.0	2371435.0	2.2019	0.7709	7.5613	332.0
3	1592971.0	1982203.0	2.2567	0.4741	3.1525	193.0
3	1982203.0	2371435.0	0	0	nan	139.0
3	2371435.0	3149898.0	0	0	nan	274.0
3	3149898.0	6263751.0	-0.9087	0.4207	1.1284	1165.0
3	3149898.0	4706825.0	0	0	nan	665.0
3	4706825.0	6263751.0	-0.4557	0.6166	0.9101	500.0
3	4706825.0	5485288.0	1.1963	0.3088	1.1753	186.0
3	4706825.0	5096057.0	0	0	nan	111.0
3	5096057.0	5485288.0	0	0	nan	75.0
3	5485288.0	6263751.0	0	0	nan	314.0
3	6263751.0	12491458.0	0	0	nan	2310.0
3	12491458.0	24946871.0	0.0208	0.9646	0.4693	3972.0
3	12491458.0	18719165.0	0	0	nan	1872.0
3	18719165.0	24946871.0	0	0	nan	2100.0
3	24946871.0	49857698.0	0.3068	0.4323	0.3906	7189.0
3	24946871.0	37402285.0	0	0	nan	3784.0
3	37402285.0	49857698.0	-0.0357	0.9091	0.3127	3405.0
3	37402285.0	43629992.0	0	0	nan	1833.0
3	43629992.0	49857698.0	-0.1699	0.8028	0.6803	1572.0
3	43629992.0	46743845.0	0.0305	0.9385	0.3959	947.0
3	43629992.0	45186919.0	0	0	nan	408.0
3	45186919.0	46743845.0	-0.0192	0.9093	0.1683	539.0
3	45186919.0	45965382.0	-0.3736	0.2934	0.3555	298.0
3	45186919.0	45576151.0	0	0	nan	151.0
3	45576151.0	45965382.0	0.0666	0.4444	0.0871	147.0
3	45965382.0	46743845.0	0.0771	0.6686	0.1802	241.0
3	45965382.0	46354614.0	0	0	nan	131.0
3	46354614.0	46743845.0	0	0	nan	110.0
3	46743845.0	49857698.0	-0.9933	0.0159	0.4119	625.0
3	46743845.0	48300772.0	0	0	nan	229.0
3	48300772.0	49857698.0	-2.1068	0.3335	2.1783	396.0
3	48300772.0	49079235.0	0	0	nan	172.0
3	49079235.0	49857698.0	0	0	nan	224.0
3	49857698.0	99679351.0	0.6996	0.132	0.4644	12707.0
3	49857698.0	74768525.0	0.4845	0.0209	0.2097	8287.0
3	49857698.0	62313112.0	0.3321	0.0313	0.1543	4325.0
3	49857698.0	56085405.0	0.4471	0.007	0.1656	1889.0
3	49857698.0	52971552.0	0.5669	0.012	0.2256	751.0
3	49857698.0	51414625.0	0	0	nan	409.0
3	51414625.0	52971552.0	0	0	nan	342.0
3	52971552.0	56085405.0	0.3188	0.2239	0.2621	1138.0
3	52971552.0	54528479.0	0.0992	0.4474	0.1306	496.0
3	52971552.0	53750016.0	0	0	nan	226.0
3	53750016.0	54528479.0	-0.0821	0.8282	0.3784	270.0
3	53750016.0	54139248.0	-1.2874	0.408	1.5559	127.0
3	54139248.0	54528479.0	1.6953	0.1306	1.1214	143.0
3	54528479.0	56085405.0	0	0	nan	642.0
3	56085405.0	62313112.0	0.2668	0.1819	0.1999	2436.0
3	56085405.0	59199259.0	-0.1699	0.3567	0.1843	899.0
3	56085405.0	57642332.0	0	0	nan	518.0
3	57642332.0	59199259.0	-0.3618	0.0868	0.2113	381.0
3	57642332.0	58420796.0	-0.8194	0.2197	0.6676	280.0
3	57642332.0	58031564.0	0.0617	0.8265	0.2814	104.0
3	58031564.0	58420796.0	0	0	nan	176.0
3	58420796.0	59199259.0	0	0	nan	101.0
3	59199259.0	62313112.0	0.4349	0.1451	0.2985	1537.0
3	59199259.0	60756186.0	0	0	nan	935.0
3	60756186.0	62313112.0	0.1065	0.6799	0.258	602.0
3	60756186.0	61534649.0	0.4654	0.0167	0.1944	286.0
3	60756186.0	61145418.0	0.8112	0.1063	0.5022	169.0
3	61145418.0	61534649.0	0	0	nan	117.0
3	61534649.0	62313112.0	-0.3519	0.2541	0.3086	316.0
3	61534649.0	61923881.0	0	0	nan	138.0
3	61923881.0	62313112.0	-0.7686	0.025	0.3429	178.0
3	62313112.0	74768525.0	1.0813	0.2625	0.9651	3962.0
3	62313112.0	68540819.0	0.4513	0.1942	0.3476	2168.0
3	62313112.0	65426966.0	0.6014	0.0221	0.2627	1284.0
3	62313112.0	63870039.0	0.4716	0.1482	0.3262	607.0
3	62313112.0	63091576.0	0	0	nan	328.0
3	63091576.0	63870039.0	-0.3064	0.1289	0.2018	279.0
3	63091576.0	63480808.0	-0.3481	0.0715	0.1931	159.0
3	63480808.0	63870039.0	0.553	0.5246	0.8691	120.0
3	63870039.0	65426966.0	0	0	nan	677.0
3	65426966.0	68540819.0	0	0	nan	884.0
3	68540819.0	74768525.0	1.3033	0.4443	1.7036	1794.0
3	68540819.0	71654672.0	0	0	nan	887.0
3	71654672.0	74768525.0	-1.6063	0.3827	1.8399	907.0
3	71654672.0	73211599.0	0	0	nan	370.0
3	73211599.0	74768525.0	-0.7954	0.0214	0.3458	537.0
3	73211599.0	73990062.0	-0.9526	0.0106	0.3725	320.0
3	73211599.0	73600831.0	-0.094	0.7932	0.3585	151.0
3	73600831.0	73990062.0	-1.3552	0.0407	0.6621	169.0
3	73990062.0	74768525.0	0	0	nan	217.0
3	74768525.0	99679351.0	0	0	nan	4420.0
3	99679351.0	199322659	0.071	0.7844	0.2595	27825.0
3	99679351.0	149501005.0	0.2377	0.572	0.4206	14732.0
3	99679351.0	124590178.0	0.04	0.9175	0.3856	7466.0
3	99679351.0	112134765.0	-0.4056	0.5536	0.6846	3484.0
3	99679351.0	105907058.0	0	0	nan	1760.0
3	105907058.0	112134765.0	-0.4042	0.5457	0.6689	1724.0
3	105907058.0	109020912.0	-1.5545	0.3063	1.5196	835.0
3	105907058.0	107463985.0	0	0	nan	457.0
3	107463985.0	109020912.0	-0.1237	0.6556	0.2775	378.0
3	107463985.0	108242449.0	-0.4828	0.0033	0.1641	192.0
3	107463985.0	107853217.0	-0.9189	1.2341e-05	0.2102	114.0
3	107853217.0	108242449.0	0	0	nan	78.0
3	108242449.0	109020912.0	0	0	nan	186.0
3	109020912.0	112134765.0	0	0	nan	889.0
3	112134765.0	124590178.0	0.422	0.4054	0.5072	3982.0
3	112134765.0	118362472.0	0	0	nan	1912.0
3	118362472.0	124590178.0	-0.1244	0.6626	0.2851	2070.0
3	118362472.0	121476325.0	0	0	nan	1118.0
3	121476325.0	124590178.0	0.5313	0.231	0.4436	952.0
3	121476325.0	123033252.0	0.5735	0.0231	0.2524	394.0
3	121476325.0	122254789.0	-0.0005	0.9981	0.1958	221.0
3	122254789.0	123033252.0	0.2186	0.3976	0.2584	173.0
3	122254789.0	122644021.0	0.6866	7.9077e-08	0.1279	70.0
3	122644021.0	123033252.0	-0.0856	0.7741	0.2983	103.0
3	123033252.0	124590178.0	0	0	nan	558.0
3	124590178.0	149501005.0	0.6452	0.4362	0.8287	7266.0
3	124590178.0	137045592.0	1.2946	0.1441	0.8862	3805.0
3	124590178.0	130817885.0	0	0	nan	1825.0
3	130817885.0	137045592.0	0.4336	0.1572	0.3065	1980.0
3	130817885.0	133931739.0	0	0	nan	944.0
3	133931739.0	137045592.0	0.2979	0.1994	0.2321	1036.0
3	133931739.0	135488666.0	-0.4947	0.3502	0.5295	510.0
3	133931739.0	134710203.0	0	0	nan	286.0
3	134710203.0	135488666.0	0	0	nan	224.0
3	135488666.0	137045592.0	1.1165	0.0022	0.3641	526.0
3	135488666.0	136267129.0	2.0233	0.0096	0.7807	271.0
3	135488666.0	135877898.0	0.7699	0.0119	0.3061	93.0
3	135877898.0	136267129.0	0	0	nan	178.0
3	136267129.0	137045592.0	0.1939	0.1846	0.1461	255.0
3	136267129.0	136656361.0	0.6399	6.7402e-05	0.1606	182.0
3	136656361.0	137045592.0	-0.4315	0.0993	0.2618	73.0
3	137045592.0	149501005.0	0	0	nan	3461.0
3	149501005.0	199322659	0	0	nan	13093.0
4	59713	191184445	1.146	0.3402	1.2016	49950.0
4	59713	95622079.0	0	0	nan	25490.0
4	95622079.0	191184445	0.863	0.3744	0.9716	24460.0
4	95622079.0	143403262.0	0	0	nan	12509.0
4	143403262.0	191184445	0	0	nan	11951.0
5	89344	179998061	0.2501	0.2501	0.2175	52674.0
5	89344	90043702.0	-0.2236	0.5986	0.4247	25433.0
5	89344	45066523.0	0	0	nan	13371.0
5	45066523.0	90043702.0	0.1026	0.7615	0.3382	12062.0
5	45066523.0	67555113.0	0	0	nan	6163.0
5	67555113.0	90043702.0	0	0	nan	5899.0
5	90043702.0	179998061	0.5274	0.047	0.2655	27241.0
5	90043702.0	135020882.0	1.2546	0.0964	0.7546	13195.0
5	90043702.0	112532292.0	0	0	nan	6070.0
5	112532292.0	135020882.0	0.5365	0.132	0.3562	7125.0
5	112532292.0	123776587.0	0	0	nan	3724.0
5	123776587.0	135020882.0	0.3478	0.1013	0.2123	3401.0
5	123776587.0	129398735.0	0.0391	0.8416	0.1959	1791.0
5	123776587.0	126587661.0	0.5243	0.1485	0.3629	889.0
5	123776587.0	125182124.0	-0.1056	0.8462	0.5444	475.0
5	123776587.0	124479356.0	0	0	nan	224.0
5	124479356.0	125182124.0	1.1444	0.323	1.158	251.0
5	124479356.0	124830740.0	0.8595	0.7116	2.3248	119.0
5	124830740.0	125182124.0	0.2123	0.3595	0.2317	132.0
5	125182124.0	126587661.0	1.2038	0.0034	0.4105	414.0
5	125182124.0	125884893.0	0.7297	0.0856	0.4245	264.0
5	125182124.0	125533509.0	1.1816	0.0151	0.4862	156.0
5	125533509.0	125884893.0	1.7008	0.0002	0.4491	108.0
5	125884893.0	126587661.0	0	0	nan	150.0
5	126587661.0	129398735.0	-0.3601	0.3874	0.4166	902.0
5	126587661.0	127993198.0	0	0	nan	438.0
5	127993198.0	129398735.0	-0.4651	0.1907	0.3554	464.0
5	127993198.0	128695967.0	0	0	nan	275.0
5	128695967.0	129398735.0	0	0	nan	189.0
5	129398735.0	135020882.0	1.1175	0.002	0.362	1610.0
5	129398735.0	132209809.0	2.0509	0.1893	1.5624	722.0
5	129398735.0	130804272.0	0	0	nan	283.0
5	130804272.0	132209809.0	0.1107	0.7292	0.3197	439.0
5	130804272.0	131507041.0	1.1054	0.0004	0.3098	171.0
5	130804272.0	131155657.0	0	0	nan	64.0
5	131155657.0	131507041.0	0.7543	0.0789	0.4292	107.0
5	131507041.0	132209809.0	0	0	nan	268.0
5	132209809.0	135020882.0	-0.1293	0.6874	0.3215	888.0
5	132209809.0	133615346.0	-0.4044	0.0796	0.2307	538.0
5	132209809.0	132912578.0	1.1568	0.1103	0.7246	203.0
5	132209809.0	132561194.0	0	0	nan	80.0
5	132561194.0	132912578.0	0.3376	0.623	0.6866	123.0
5	132912578.0	133615346.0	-0.9407	1.0348e-05	0.2133	335.0
5	132912578.0	133263962.0	0	0	nan	254.0
5	133263962.0	133615346.0	0	0	nan	81.0
5	133615346.0	135020882.0	0	0	nan	350.0
5	135020882.0	179998061	0.2346	0.4861	0.3368	14046.0
5	135020882.0	157509472.0	0.2663	0.5036	0.3982	7393.0
5	135020882.0	146265177.0	0	0	nan	3462.0
5	146265177.0	157509472.0	0.6442	0.054	0.3343	3931.0
5	146265177.0	151887325.0	1.2029	0.4309	1.5271	1893.0
5	146265177.0	149076251.0	0.6052	0.2636	0.5413	848.0
5	146265177.0	147670714.0	0.0852	0.7347	0.2514	379.0
5	146265177.0	146967946.0	0	0	nan	149.0
5	146967946.0	147670714.0	0	0	nan	230.0
5	147670714.0	149076251.0	0	0	nan	469.0
5	149076251.0	151887325.0	0	0	nan	1045.0
5	151887325.0	157509472.0	1.4151	0.5887	2.6172	2038.0
5	151887325.0	154698399.0	0.5805	0.2331	0.4868	972.0
5	151887325.0	153292862.0	0	0	nan	507.0
5	153292862.0	154698399.0	1.4426	0.1165	0.9192	465.0
5	153292862.0	153995631.0	1.7289	0.0036	0.5941	253.0
5	153292862.0	153644247.0	0.9924	0.0001	0.2571	139.0
5	153644247.0	153995631.0	0	0	nan	114.0
5	153995631.0	154698399.0	0	0	nan	212.0
5	154698399.0	157509472.0	0	0	nan	1066.0
5	157509472.0	179998061	0	0	nan	6653.0
6	94609	169999770	0.1516	0.5394	0.247	49415.0
6	94609	85047189.0	-0.0397	0.9131	0.364	23622.0
6	94609	42570899.0	0.0677	0.8356	0.3263	11926.0
6	94609	21332754.0	-0.0612	0.7868	0.2264	7770.0
6	94609	10713682.0	-0.1166	0.7733	0.4047	3985.0
6	94609	5404146.0	0	0	nan	2009.0
6	5404146.0	10713682.0	0	0	nan	1976.0
6	10713682.0	21332754.0	-0.0872	0.5995	0.1661	3785.0
6	10713682.0	16023218.0	-0.0818	0.4411	0.1061	1952.0
6	10713682.0	13368450.0	-0.1375	0.1621	0.0984	980.0
6	10713682.0	12041066.0	-0.0963	0.6803	0.2338	495.0
6	10713682.0	11377374.0	0	0	nan	200.0
6	11377374.0	12041066.0	0.3253	0.2691	0.2943	295.0
6	11377374.0	11709220.0	0.7441	0.0605	0.3964	133.0
6	11709220.0	12041066.0	0.0364	0.8418	0.1823	162.0
6	12041066.0	13368450.0	-0.2311	0.0025	0.0763	485.0
6	12041066.0	12704758.0	-0.2227	0.1733	0.1635	274.0
6	12041066.0	12372912.0	0	0	nan	158.0
6	12372912.0	12704758.0	-0.2818	0.1459	0.1938	116.0
6	12704758.0	13368450.0	-0.1011	0.6648	0.2333	211.0
6	12704758.0	13036604.0	0	0	nan	96.0
6	13036604.0	13368450.0	0	0	nan	115.0
6	13368450.0	16023218.0	0.119	0.6468	0.2597	972.0
6	13368450.0	14695834.0	0	0	nan	479.0
6	14695834.0	16023218.0	-0.0777	0.5768	0.1392	493.0
6	14695834.0	15359526.0	0	0	nan	202.0
6	15359526.0	16023218.0	-0.0299	0.7356	0.0884	291.0
6	15359526.0	15691372.0	0.2982	0.6817	0.727	133.0
6	15691372.0	16023218.0	0	0	nan	158.0
6	16023218.0	21332754.0	-0.4603	0.6398	0.9834	1833.0
6	16023218.0	18677986.0	-0.2198	0.6332	0.4607	866.0
6	16023218.0	17350602.0	0	0	nan	443.0
6	17350602.0	18677986.0	0	0	nan	423.0
6	18677986.0	21332754.0	0	0	nan	967.0
6	21332754.0	42570899.0	0	0	nan	4156.0
6	42570899.0	85047189.0	0	0	nan	11696.0
6	85047189.0	169999770	0.3409	0.3741	0.3835	25793.0
6	85047189.0	127523480.0	0.2312	0.5509	0.3877	12126.0
6	85047189.0	106285335.0	0.1032	0.7872	0.3823	5951.0
6	85047189.0	95666262.0	0.7508	0.0675	0.4106	3200.0
6	85047189.0	90356726.0	0.3235	0.3605	0.3538	1710.0
6	85047189.0	87701958.0	1.3322	0.0538	0.691	873.0
6	85047189.0	86374574.0	0	0	nan	547.0
6	86374574.0	87701958.0	0.0947	0.5688	0.1662	326.0
6	86374574.0	87038266.0	0.9558	0.0018	0.3054	136.0
6	86374574.0	86706420.0	0.894	0.0077	0.3355	69.0
6	86706420.0	87038266.0	0.8016	0.2116	0.6417	67.0
6	87038266.0	87701958.0	-0.3103	0.1004	0.1889	190.0
6	87038266.0	87370112.0	-0.4359	0.587	0.8025	103.0
6	87370112.0	87701958.0	0.336	0.007	0.1246	87.0
6	87701958.0	90356726.0	-0.5305	0.0721	0.295	837.0
6	87701958.0	89029342.0	0	0	nan	417.0
6	89029342.0	90356726.0	-0.9616	0.0331	0.4512	420.0
6	89029342.0	89693034.0	0	0	nan	201.0
6	89693034.0	90356726.0	0	0	nan	219.0
6	90356726.0	95666262.0	0	0	nan	1490.0
6	95666262.0	106285335.0	0	0	nan	2751.0
6	106285335.0	127523480.0	0.3132	0.6468	0.6835	6175.0
6	106285335.0	116904408.0	0.4422	0.4694	0.6113	3227.0
6	106285335.0	111594872.0	0	0	nan	1641.0
6	111594872.0	116904408.0	0.5867	0.0347	0.2779	1586.0
6	111594872.0	114249640.0	-0.0014	0.9965	0.322	862.0
6	114249640.0	116904408.0	1.4016	0.0654	0.7606	724.0
6	114249640.0	115577024.0	0	0	nan	335.0
6	115577024.0	116904408.0	0.4274	0.1471	0.2947	389.0
6	115577024.0	116240716.0	1.2131	0.0182	0.5136	182.0
6	115577024.0	115908870.0	2.2455	0.3601	2.4537	54.0
6	115908870.0	116240716.0	2.2322	0.3804	2.5451	128.0
6	116240716.0	116904408.0	0	0	nan	207.0
6	116904408.0	127523480.0	0	0	nan	2948.0
6	127523480.0	169999770	0.6503	0.4576	0.8755	13667.0
6	127523480.0	148761625.0	0	0	nan	5877.0
6	148761625.0	169999770	0.6967	0.5747	1.2417	7790.0
6	148761625.0	159380698.0	0.8643	0.3867	0.9984	3620.0
6	148761625.0	154071162.0	0.8139	0.2055	0.6429	1931.0
6	148761625.0	151416394.0	0.3007	0.3041	0.2926	1001.0
6	148761625.0	150089010.0	0.2182	0.4725	0.3037	488.0
6	148761625.0	149425318.0	-0.5168	0.4187	0.6391	253.0
6	148761625.0	149093472.0	-0.4468	0.5464	0.7408	134.0
6	149093472.0	149425318.0	0	0	nan	119.0
6	149425318.0	150089010.0	-0.4292	0.421	0.5334	235.0
6	149425318.0	149757164.0	-1.5453	0.5215	2.411	141.0
6	149757164.0	150089010.0	0	0	nan	94.0
6	150089010.0	151416394.0	0	0	nan	513.0
6	151416394.0	154071162.0	2.0984	0.8336	9.9871	930.0
6	151416394.0	152743778.0	0	0	nan	428.0
6	152743778.0	154071162.0	0	0	nan	502.0
6	154071162.0	159380698.0	0	0	nan	1689.0
6	159380698.0	169999770	0	0	nan	4170.0
7	140018	158812247	-0.3342	0.287	0.3139	42932.0
7	140018	79476132.0	-0.7348	0.1057	0.4542	22599.0
7	140018	39808075.0	-0.1809	0.8428	0.9122	13445.0
7	140018	19974047.0	0	0	nan	5934.0
7	19974047.0	39808075.0	-0.1949	0.7073	0.5192	7511.0
7	19974047.0	29891061.0	-0.1383	0.7609	0.4545	3920.0
7	19974047.0	24932554.0	0.521	0.1732	0.3825	1968.0
7	19974047.0	22453301.0	-1.3813	0.541	2.2594	982.0
7	19974047.0	21213674.0	0	0	nan	413.0
7	21213674.0	22453301.0	-0.4578	0.5049	0.6865	569.0
7	21213674.0	21833488.0	0.7712	0.1783	0.5729	287.0
7	21213674.0	21523581.0	0	0	nan	132.0
7	21523581.0	21833488.0	0	0	nan	155.0
7	21833488.0	22453301.0	0	0	nan	282.0
7	22453301.0	24932554.0	1.8481	0.2851	1.7287	986.0
7	22453301.0	23692928.0	0	0	nan	374.0
7	23692928.0	24932554.0	1.4882	0.0328	0.6972	612.0
7	23692928.0	24312741.0	0.3613	0.2549	0.3173	324.0
7	23692928.0	24002835.0	0	0	nan	138.0
7	24002835.0	24312741.0	1.0612	0.0002	0.2869	186.0
7	24312741.0	24932554.0	2.673	0.0572	1.4054	288.0
7	24312741.0	24622648.0	4.4916	0.3959	5.2903	150.0
7	24622648.0	24932554.0	1.0319	0.0003	0.2885	138.0
7	24932554.0	29891061.0	-4.7255	0.5851	8.6547	1952.0
7	24932554.0	27411808.0	-1.9538	0.0672	1.0674	914.0
7	24932554.0	26172181.0	-0.7635	0.0846	0.4427	500.0
7	24932554.0	25552368.0	-0.3541	0.4405	0.459	289.0
7	24932554.0	25242461.0	0.3562	0.5848	0.6519	129.0
7	25242461.0	25552368.0	0	0	nan	160.0
7	25552368.0	26172181.0	0	0	nan	211.0
7	26172181.0	27411808.0	0	0	nan	414.0
7	27411808.0	29891061.0	0	0	nan	1038.0
7	29891061.0	39808075.0	-0.4497	0.7765	1.584	3591.0
7	29891061.0	34849568.0	0	0	nan	1712.0
7	34849568.0	39808075.0	-0.7474	0.3096	0.7356	1879.0
7	34849568.0	37328822.0	0	0	nan	875.0
7	37328822.0	39808075.0	0	0	nan	1004.0
7	39808075.0	79476132.0	-1.2997	0.1716	0.9506	9154.0
7	39808075.0	59642104.0	0	0	nan	5584.0
7	59642104.0	79476132.0	0	0	nan	3570.0
7	79476132.0	158812247	0.0115	0.9764	0.3889	20333.0
7	79476132.0	119144190.0	0.2204	0.3343	0.2283	10187.0
7	79476132.0	99310161.0	0.5737	0.0866	0.3348	5300.0
7	79476132.0	89393147.0	0.4579	0.0098	0.1772	2686.0
7	79476132.0	84434640.0	0.9896	0.0006	0.2892	1291.0
7	79476132.0	81955386.0	0	0	nan	593.0
7	81955386.0	84434640.0	0.7102	4.5807e-10	0.114	698.0
7	81955386.0	83195013.0	0.5972	5.2735e-07	0.1191	397.0
7	81955386.0	82575200.0	0	0	nan	168.0
7	82575200.0	83195013.0	0.7435	0.0171	0.3118	229.0
7	82575200.0	82885107.0	0.791	0.0043	0.2773	116.0
7	82885107.0	83195013.0	0	0	nan	113.0
7	83195013.0	84434640.0	0	0	nan	301.0
7	84434640.0	89393147.0	-0.0287	0.931	0.3317	1395.0
7	84434640.0	86913894.0	0	0	nan	670.0
7	86913894.0	89393147.0	0	0	nan	725.0
7	89393147.0	99310161.0	0	0	nan	2614.0
