,symbol,acc,name,term_type,full_name
0,ACTR1B,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,biological_process,Beta-centractin
1,ACTR1B,GO:0005737,cytoplasm,cellular_component,Beta-centractin
2,ACTR1B,GO:0005813,centrosome,cellular_component,Beta-centractin
3,ACTR1B,GO:0005815,microtubule organizing center,cellular_component,Beta-centractin
4,ACTR1B,GO:0005829,cytosol,cellular_component,Beta-centractin
5,ACTR1B,GO:0005856,cytoskeleton,cellular_component,Beta-centractin
6,ACTR1B,GO:0005869,dynactin complex,cellular_component,Beta-centractin
7,ACTR1B,GO:0015630,microtubule cytoskeleton,cellular_component,Beta-centractin
8,ACTR1B,GO:0016020,membrane,cellular_component,Beta-centractin
9,ACTR1B,GO:0070062,extracellular exosome,cellular_component,Beta-centractin
10,ACTR1B,GO:1990752,microtubule end,cellular_component,Beta-centractin
11,ACTR1B,GO:0000166,nucleotide binding,molecular_function,Beta-centractin
12,ACTR1B,GO:0005515,protein binding,molecular_function,Beta-centractin
13,ACTR1B,GO:0005524,ATP binding,molecular_function,Beta-centractin
14,ADRA2B,GO:0000187,activation of MAPK activity,biological_process,"Adrenergic, alpha-2B-, receptor"
15,ADRA2B,GO:0003056,regulation of vascular smooth muscle contraction,biological_process,"Adrenergic, alpha-2B-, receptor"
16,ADRA2B,GO:0006940,regulation of smooth muscle contraction,biological_process,"Adrenergic, alpha-2B-, receptor"
17,ADRA2B,GO:0006940,regulation of smooth muscle contraction,biological_process,Alpha-2B adrenergic receptor
18,ADRA2B,GO:0007165,signal transduction,biological_process,"Adrenergic, alpha-2B-, receptor"
19,ADRA2B,GO:0007165,signal transduction,biological_process,Alpha-2B adrenergic receptor
20,ADRA2B,GO:0007186,G-protein coupled receptor signaling pathway,biological_process,"Adrenergic, alpha-2B-, receptor"
21,ADRA2B,GO:0007186,G-protein coupled receptor signaling pathway,biological_process,Alpha-2B adrenergic receptor
22,ADRA2B,GO:0007267,cell-cell signaling,biological_process,Alpha-2B adrenergic receptor
23,ADRA2B,GO:0007565,female pregnancy,biological_process,"Adrenergic, alpha-2B-, receptor"
24,ADRA2B,GO:0010700,negative regulation of norepinephrine secretion,biological_process,Alpha-2B adrenergic receptor
25,ADRA2B,GO:0019229,regulation of vasoconstriction,biological_process,"Adrenergic, alpha-2B-, receptor"
26,ADRA2B,GO:0019229,regulation of vasoconstriction,biological_process,Alpha-2B adrenergic receptor
27,ADRA2B,GO:0030168,platelet activation,biological_process,"Adrenergic, alpha-2B-, receptor"
28,ADRA2B,GO:0030168,platelet activation,biological_process,Alpha-2B adrenergic receptor
29,ADRA2B,GO:0032148,activation of protein kinase B activity,biological_process,Alpha-2B adrenergic receptor
30,ADRA2B,GO:0032811,negative regulation of epinephrine secretion,biological_process,Alpha-2B adrenergic receptor
31,ADRA2B,GO:0035625,epidermal growth factor-activated receptor transactivation by G-protein coupled receptor signaling pathway,biological_process,Alpha-2B adrenergic receptor
32,ADRA2B,GO:0045666,positive regulation of neuron differentiation,biological_process,Alpha-2B adrenergic receptor
33,ADRA2B,GO:0045777,positive regulation of blood pressure,biological_process,"Adrenergic, alpha-2B-, receptor"
