chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	-0.3155	0.188	0.2397	66566.0
1	742584	123960278.0	-0.2846	0.3282	0.2911	34359.0
1	742584	62351431.0	-0.2865	0.549	0.4781	16472.0
1	742584	31547008.0	0.0766	0.8366	0.3712	7685.0
1	742584	16144796.0	-0.0117	0.9819	0.5168	3561.0
1	742584	8443690.0	0	0	nan	1860.0
1	8443690.0	16144796.0	-0.3265	0.3583	0.3554	1701.0
1	8443690.0	12294243.0	-0.2321	0.4342	0.2968	778.0
1	8443690.0	10368967.0	-1.5044	0.7211	4.2137	358.0
1	8443690.0	9406329.0	-1.3148	0.4087	1.5916	219.0
1	8443690.0	8925010.0	0.3084	0.5909	0.5737	110.0
1	8925010.0	9406329.0	0	0	nan	109.0
1	9406329.0	10368967.0	0	0	nan	139.0
1	10368967.0	12294243.0	0.1445	0.6183	0.29	420.0
1	10368967.0	11331605.0	0	0	nan	185.0
1	11331605.0	12294243.0	-0.112	0.7198	0.3123	235.0
1	11331605.0	11812924.0	0.4351	0.4168	0.5358	154.0
1	11812924.0	12294243.0	-0.8005	0.1218	0.5173	81.0
1	12294243.0	16144796.0	0	0	nan	923.0
1	16144796.0	31547008.0	0	0	nan	4124.0
1	31547008.0	62351431.0	-0.6181	0.5438	1.0182	8787.0
1	31547008.0	46949220.0	-0.0686	0.9515	1.1291	4076.0
1	31547008.0	39248114.0	0	0	nan	1863.0
1	39248114.0	46949220.0	-0.1682	0.8118	0.7064	2213.0
1	39248114.0	43098667.0	0	0	nan	1115.0
1	43098667.0	46949220.0	0	0	nan	1098.0
1	46949220.0	62351431.0	-1.0253	0.4846	1.4669	4711.0
1	46949220.0	54650326.0	0	0	nan	1858.0
1	54650326.0	62351431.0	0	0	nan	2853.0
1	62351431.0	123960278.0	-0.3159	0.4104	0.3837	17887.0
1	62351431.0	93155855.0	0.1883	0.81	0.7829	9624.0
1	62351431.0	77753643.0	0	0	nan	4863.0
1	77753643.0	93155855.0	1.5671	0.061	0.8363	4761.0
1	77753643.0	85454749.0	0	0	nan	2395.0
1	85454749.0	93155855.0	1.4577	0.0822	0.8387	2366.0
1	85454749.0	89305302.0	0.7121	0.0056	0.2568	1262.0
1	85454749.0	87380026.0	0.5748	0.0018	0.1837	701.0
1	85454749.0	86417388.0	0	0	nan	409.0
1	86417388.0	87380026.0	-0.0367	0.7932	0.1401	292.0
1	86417388.0	86898707.0	-0.6252	0.0756	0.3519	182.0
1	86898707.0	87380026.0	1.3185	0.0002	0.3581	110.0
1	87380026.0	89305302.0	0	0	nan	561.0
1	89305302.0	93155855.0	0	0	nan	1104.0
1	93155855.0	123960278.0	-0.4864	0.1381	0.328	8263.0
1	93155855.0	108558067.0	0.1484	0.9042	1.2328	4627.0
1	93155855.0	100856961.0	0	0	nan	2620.0
1	100856961.0	108558067.0	0	0	nan	2007.0
1	108558067.0	123960278.0	-0.6199	0.0482	0.3138	3636.0
1	108558067.0	116259173.0	-0.5729	0.1499	0.3979	2448.0
1	108558067.0	112408620.0	1.0897	0.0082	0.412	1270.0
1	108558067.0	110483344.0	0.7097	0.0082	0.2682	413.0
1	108558067.0	109520706.0	0.862	0.0011	0.2644	171.0
1	108558067.0	109039387.0	0	0	nan	55.0
1	109039387.0	109520706.0	0	0	nan	116.0
1	109520706.0	110483344.0	0.6543	0.0572	0.3441	242.0
1	109520706.0	110002025.0	0.7213	3.0863e-10	0.1146	135.0
1	110002025.0	110483344.0	0	0	nan	107.0
1	110483344.0	112408620.0	0	0	nan	857.0
1	112408620.0	116259173.0	-1.3392	0.0636	0.722	1178.0
1	112408620.0	114333897.0	-0.6269	0.1012	0.3824	465.0
1	112408620.0	113371259.0	-0.6278	0.1526	0.4389	194.0
1	112408620.0	112889940.0	0	0	nan	138.0
1	112889940.0	113371259.0	0	0	nan	56.0
1	113371259.0	114333897.0	0	0	nan	271.0
1	114333897.0	116259173.0	0	0	nan	713.0
1	116259173.0	123960278.0	-0.8483	0.1796	0.6322	1188.0
1	116259173.0	120109726.0	-0.8838	0.0216	0.3847	1124.0
1	116259173.0	118184450.0	0	0	nan	534.0
1	118184450.0	120109726.0	-1.2125	0.0692	0.6674	590.0
1	118184450.0	119147088.0	-1.1193	0.0034	0.3826	288.0
1	118184450.0	118665769.0	-0.9909	3.7399e-10	0.1582	118.0
1	118665769.0	119147088.0	0	0	nan	170.0
1	119147088.0	120109726.0	0	0	nan	302.0
1	120109726.0	123960278.0	0	0	nan	64.0
1	123960278.0	247177973	-0.3606	0.231	0.3011	32207.0
1	123960278.0	185569126.0	-0.5733	0.1053	0.354	12901.0
1	123960278.0	154764702.0	0	0	nan	2021.0
1	154764702.0	185569126.0	-0.3214	0.3675	0.3567	10880.0
1	154764702.0	170166914.0	0	0	nan	5774.0
1	170166914.0	185569126.0	-1.3114	0.3519	1.4088	5106.0
1	170166914.0	177868020.0	-0.193	0.3924	0.2257	2478.0
1	170166914.0	174017467.0	-0.7057	0.0068	0.2605	1163.0
1	170166914.0	172092191.0	0	0	nan	486.0
1	172092191.0	174017467.0	-0.8773	0.009	0.3357	677.0
1	172092191.0	173054829.0	0	0	nan	278.0
1	173054829.0	174017467.0	0	0	nan	399.0
1	174017467.0	177868020.0	0.1694	0.7933	0.6466	1315.0
1	174017467.0	175942744.0	1.0094	0.1304	0.6673	611.0
1	174017467.0	174980106.0	0	0	nan	241.0
1	174980106.0	175942744.0	0.0434	0.9503	0.6964	370.0
1	174980106.0	175461425.0	0	0	nan	196.0
1	175461425.0	175942744.0	0	0	nan	174.0
1	175942744.0	177868020.0	-0.3509	0.3302	0.3604	704.0
1	175942744.0	176905382.0	-0.6909	0.5733	1.2269	347.0
1	175942744.0	176424063.0	0	0	nan	218.0
1	176424063.0	176905382.0	-0.6948	0.1761	0.5136	129.0
1	176905382.0	177868020.0	0.0432	0.9074	0.3712	357.0
1	176905382.0	177386701.0	-1.2506	0.7645	4.1755	154.0
1	177386701.0	177868020.0	0	0	nan	203.0
1	177868020.0	185569126.0	0	0	nan	2628.0
1	185569126.0	247177973	-0.1886	0.7006	0.4904	19306.0
1	185569126.0	216373550.0	0.1936	0.7227	0.5456	9853.0
1	185569126.0	200971338.0	-0.5712	0.3705	0.6378	4466.0
1	185569126.0	193270232.0	0	0	nan	2195.0
1	193270232.0	200971338.0	0	0	nan	2271.0
1	200971338.0	216373550.0	0	0	nan	5387.0
1	216373550.0	247177973	-1.2977	0.6766	3.1107	9453.0
1	216373550.0	231775762.0	0	0	nan	4849.0
1	231775762.0	247177973	0	0	nan	4604.0
2	5703	242669396	-0.2444	0.3288	0.2502	69719.0
2	5703	121337549.0	-0.4627	0.0467	0.2326	35502.0
2	5703	60671626.0	-0.2885	0.4199	0.3577	20790.0
2	5703	30338665.0	0.3197	0.4485	0.4218	9642.0
2	5703	15172184.0	0	0	nan	4926.0
2	15172184.0	30338665.0	0.6075	0.2894	0.5735	4716.0
2	15172184.0	22755425.0	0	0	nan	2459.0
2	22755425.0	30338665.0	0.5187	0.1817	0.3884	2257.0
2	22755425.0	26547045.0	0	0	nan	1031.0
2	26547045.0	30338665.0	0	0	nan	1226.0
2	30338665.0	60671626.0	0	0	nan	11148.0
2	60671626.0	121337549.0	-0.5389	0.0243	0.2392	14712.0
2	60671626.0	91004588.0	0.0095	0.9726	0.2776	7983.0
2	91004588.0	121337549.0	-1.1693	0.0038	0.4035	6729.0
2	91004588.0	106171069.0	-0.9547	1.1535e-06	0.1963	2866.0
2	91004588.0	98587829.0	-0.8594	4.4799e-18	0.0992	476.0
2	91004588.0	94796209.0	0	0	nan	nan
2	94796209.0	98587829.0	-0.8594	4.4799e-18	0.0992	476.0
2	94796209.0	96692019.0	-0.576	0.0008	0.172	180.0
2	94796209.0	95744114.0	0	0	nan	68.0
2	95744114.0	96692019.0	-0.826	1.3049e-05	0.1895	112.0
2	95744114.0	96218067.0	-0.8768	0.0005	0.2525	36.0
2	96218067.0	96692019.0	-0.8561	1.9615e-09	0.1427	76.0
2	96692019.0	98587829.0	-0.7926	8.4391e-15	0.1021	296.0
2	96692019.0	97639924.0	0	0	nan	79.0
2	97639924.0	98587829.0	-0.9655	1.5041e-24	0.0944	217.0
2	97639924.0	98113877.0	-1.0612	2.0127e-14	0.1387	92.0
2	98113877.0	98587829.0	-1.0589	0.0002	0.2805	125.0
2	98587829.0	106171069.0	-0.9389	0.0019	0.3022	2390.0
2	98587829.0	102379449.0	-0.9099	0.0002	0.2463	1214.0
2	98587829.0	100483639.0	-1.1099	1.9483e-05	0.2599	550.0
2	98587829.0	99535734.0	-1.119	0.0517	0.5751	213.0
2	98587829.0	99061782.0	-0.712	0.1626	0.5098	82.0
2	99061782.0	99535734.0	0	0	nan	131.0
2	99535734.0	100483639.0	-1.4332	0.0324	0.6699	337.0
2	99535734.0	100009687.0	-0.1943	0.3026	0.1884	128.0
2	100009687.0	100483639.0	0	0	nan	209.0
2	100483639.0	102379449.0	-0.5976	0.3201	0.601	664.0
2	100483639.0	101431544.0	-3.3897	0.1688	2.4635	301.0
2	100483639.0	100957592.0	-1.5989	0.0143	0.6528	176.0
2	100957592.0	101431544.0	0	0	nan	125.0
2	101431544.0	102379449.0	0	0	nan	363.0
2	102379449.0	106171069.0	-0.7253	0.0408	0.3546	1176.0
2	102379449.0	104275259.0	0	0	nan	460.0
2	104275259.0	106171069.0	-1.1352	0.1287	0.7472	716.0
2	104275259.0	105223164.0	0	0	nan	225.0
2	105223164.0	106171069.0	-0.7219	0.1826	0.5416	491.0
2	105223164.0	105697117.0	-0.6972	0.458	0.9393	242.0
2	105697117.0	106171069.0	-1.441	0.2038	1.134	249.0
2	106171069.0	121337549.0	0	0	nan	3863.0
2	121337549.0	242669396	0.3727	0.5937	0.6986	34217.0
2	121337549.0	182003473.0	0	0	nan	17322.0
2	182003473.0	242669396	0	0	nan	16895.0
3	36044	199322659	0.2107	0.2226	0.1728	57242.0
3	36044	99679351.0	0.1839	0.3788	0.209	28935.0
3	36044	49857698.0	-0.237	0.3456	0.2513	16100.0
3	36044	24946871.0	-0.0379	0.9129	0.3466	8838.0
3	36044	12491458.0	0.6523	0.3044	0.635	4822.0
3	36044	6263751.0	0	0	nan	2422.0
3	6263751.0	12491458.0	0.7134	0.3007	0.6893	2400.0
3	6263751.0	9377605.0	-0.1454	0.5795	0.2624	1348.0
3	6263751.0	7820678.0	-0.1318	0.6443	0.2855	650.0
3	6263751.0	7042215.0	0.2709	0.1976	0.2103	253.0
3	6263751.0	6652983.0	1.0601	0.6191	2.1327	153.0
3	6652983.0	7042215.0	0	0	nan	100.0
3	7042215.0	7820678.0	0	0	nan	397.0
3	7820678.0	9377605.0	-0.1842	0.6146	0.3659	698.0
3	7820678.0	8599142.0	-0.31	0.7761	1.09	384.0
