,symbol,acc,name,term_type,full_name
0,DPP4,GO:0001662,behavioral fear response,biological_process,Dipeptidyl peptidase 4
1,DPP4,GO:0001666,response to hypoxia,biological_process,Dipeptidyl peptidase 4
2,DPP4,GO:0006508,proteolysis,biological_process,Dipeptidyl peptidase 4
3,DPP4,GO:0007155,cell adhesion,biological_process,Dipeptidyl peptidase 4
4,DPP4,GO:0008284,positive regulation of cell proliferation,biological_process,Dipeptidyl peptidase 4
5,DPP4,GO:0010716,negative regulation of extracellular matrix disassembly,biological_process,Dipeptidyl peptidase 4
6,DPP4,GO:0031295,T cell costimulation,biological_process,Dipeptidyl peptidase 4
7,DPP4,GO:0033632,regulation of cell-cell adhesion mediated by integrin,biological_process,Dipeptidyl peptidase 4
8,DPP4,GO:0035641,locomotory exploration behavior,biological_process,Dipeptidyl peptidase 4
9,DPP4,GO:0036343,psychomotor behavior,biological_process,Dipeptidyl peptidase 4
10,DPP4,GO:0042110,T cell activation,biological_process,Dipeptidyl peptidase 4
11,DPP4,GO:0043542,endothelial cell migration,biological_process,Dipeptidyl peptidase 4
12,DPP4,GO:0046718,viral entry into host cell,biological_process,Dipeptidyl peptidase 4
13,DPP4,GO:0005576,extracellular region,cellular_component,Dipeptidyl peptidase 4
14,DPP4,GO:0005765,lysosomal membrane,cellular_component,Dipeptidyl peptidase 4
15,DPP4,GO:0005886,plasma membrane,cellular_component,Dipeptidyl peptidase 4
16,DPP4,GO:0005925,focal adhesion,cellular_component,Dipeptidyl peptidase 4
17,DPP4,GO:0009986,cell surface,cellular_component,Dipeptidyl peptidase 4
18,DPP4,GO:0016020,membrane,cellular_component,Dipeptidyl peptidase 4
19,DPP4,GO:0016021,integral component of membrane,cellular_component,Dipeptidyl peptidase 4
20,DPP4,GO:0016324,apical plasma membrane,cellular_component,Dipeptidyl peptidase 4
21,DPP4,GO:0030027,lamellipodium,cellular_component,Dipeptidyl peptidase 4
22,DPP4,GO:0030054,cell junction,cellular_component,Dipeptidyl peptidase 4
23,DPP4,GO:0030139,endocytic vesicle,cellular_component,Dipeptidyl peptidase 4
24,DPP4,GO:0031258,lamellipodium membrane,cellular_component,Dipeptidyl peptidase 4
25,DPP4,GO:0042995,cell projection,cellular_component,Dipeptidyl peptidase 4
26,DPP4,GO:0045121,membrane raft,cellular_component,Dipeptidyl peptidase 4
27,DPP4,GO:0046581,intercellular canaliculus,cellular_component,Dipeptidyl peptidase 4
28,DPP4,GO:0070062,extracellular exosome,cellular_component,Dipeptidyl peptidase 4
29,DPP4,GO:0071438,invadopodium membrane,cellular_component,Dipeptidyl peptidase 4
30,DPP4,GO:0001618,virus receptor activity,molecular_function,Dipeptidyl peptidase 4
31,DPP4,GO:0002020,protease binding,molecular_function,Dipeptidyl peptidase 4
32,DPP4,GO:0004177,aminopeptidase activity,molecular_function,Dipeptidyl peptidase 4
33,DPP4,GO:0004252,serine-type endopeptidase activity,molecular_function,Dipeptidyl peptidase 4
34,DPP4,GO:0005102,receptor binding,molecular_function,Dipeptidyl peptidase 4
35,DPP4,GO:0005515,protein binding,molecular_function,Dipeptidyl peptidase 4
36,DPP4,GO:0008233,peptidase activity,molecular_function,Dipeptidyl peptidase 4
37,DPP4,GO:0008236,serine-type peptidase activity,molecular_function,Dipeptidyl peptidase 4
38,DPP4,GO:0008239,dipeptidyl-peptidase activity,molecular_function,Dipeptidyl peptidase 4
39,DPP4,GO:0016787,hydrolase activity,molecular_function,Dipeptidyl peptidase 4
