chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	0.1783	0.7363	0.5294	62756.0
1	742584	123960278.0	-0.086	0.8388	0.4229	32435.0
1	742584	62351431.0	0	0	nan	15386.0
1	62351431.0	123960278.0	0.195	0.5204	0.3034	17049.0
1	62351431.0	93155855.0	0.135	0.8058	0.5488	9177.0
1	62351431.0	77753643.0	-0.7833	0.3068	0.7665	4595.0
1	62351431.0	70052537.0	-1.3446	0.3141	1.3356	2546.0
1	62351431.0	66201984.0	0	0	nan	1288.0
1	66201984.0	70052537.0	0	0	nan	1258.0
1	70052537.0	77753643.0	-0.7615	0.4967	1.1204	2049.0
1	70052537.0	73903090.0	0	0	nan	864.0
1	73903090.0	77753643.0	0	0	nan	1185.0
1	77753643.0	93155855.0	0	0	nan	4582.0
1	93155855.0	123960278.0	0.2359	0.3873	0.2729	7872.0
1	93155855.0	108558067.0	0.97	0.4996	1.4366	4455.0
1	93155855.0	100856961.0	0	0	nan	2538.0
1	100856961.0	108558067.0	0.7876	0.0017	0.2508	1917.0
1	100856961.0	104707514.0	0.6531	0.0937	0.3896	983.0
1	100856961.0	102782238.0	0.3663	0.3503	0.3921	634.0
1	100856961.0	101819600.0	0.2529	0.8083	1.0428	351.0
1	100856961.0	101338281.0	0	0	nan	139.0
1	101338281.0	101819600.0	-0.042	0.887	0.2955	212.0
1	101819600.0	102782238.0	0	0	nan	283.0
1	102782238.0	104707514.0	1.6174	0.084	0.936	349.0
1	102782238.0	103744876.0	0.711	0.0747	0.3989	203.0
1	102782238.0	103263557.0	0.2679	0.4525	0.3566	133.0
1	103263557.0	103744876.0	0	0	nan	70.0
1	103744876.0	104707514.0	0	0	nan	146.0
1	104707514.0	108558067.0	0.8648	0.0004	0.2457	934.0
1	104707514.0	106632791.0	0	0	nan	330.0
1	106632791.0	108558067.0	1.0575	0.0133	0.4273	604.0
1	106632791.0	107595429.0	1.3292	0.0648	0.7198	236.0
1	106632791.0	107114110.0	0	0	nan	120.0
1	107114110.0	107595429.0	0	0	nan	116.0
1	107595429.0	108558067.0	0.4922	0.2907	0.4659	368.0
1	107595429.0	108076748.0	0.1791	0.815	0.7653	173.0
1	108076748.0	108558067.0	0	0	nan	195.0
1	108558067.0	123960278.0	-0.2099	0.3837	0.2409	3417.0
1	108558067.0	116259173.0	-0.1301	0.6407	0.2788	2338.0
1	108558067.0	112408620.0	-0.6193	0.0314	0.2879	1229.0
1	108558067.0	110483344.0	-0.5399	0.0201	0.2323	389.0
1	108558067.0	109520706.0	-1.155	0.2157	0.9329	158.0
1	108558067.0	109039387.0	0	0	nan	45.0
1	109039387.0	109520706.0	0	0	nan	113.0
1	109520706.0	110483344.0	-2.1216	0.6704	4.985	231.0
1	109520706.0	110002025.0	0	0	nan	136.0
1	110002025.0	110483344.0	-1.1949	0.1401	0.8099	95.0
1	110483344.0	112408620.0	-0.2979	0.8027	1.1924	840.0
1	110483344.0	111445982.0	0	0	nan	351.0
1	111445982.0	112408620.0	1.0343	0.2771	0.9518	489.0
1	111445982.0	111927301.0	1.7001	0.2285	1.4118	245.0
1	111927301.0	112408620.0	0.4906	0.4531	0.654	244.0
1	112408620.0	116259173.0	0	0	nan	1109.0
1	116259173.0	123960278.0	-0.2862	0.6499	0.6306	1079.0
1	116259173.0	120109726.0	0	0	nan	1028.0
1	120109726.0	123960278.0	1.1383	1.1603e-09	0.187	51.0
1	120109726.0	122035002.0	1.1383	1.1603e-09	0.187	51.0
1	120109726.0	121072364.0	1.1383	1.1603e-09	0.187	51.0
1	120109726.0	120591045.0	0	0	nan	37.0
1	120591045.0	121072364.0	0	0	nan	14.0
1	121072364.0	122035002.0	0	0	1	nan
1	122035002.0	123960278.0	0	0	1	nan
1	123960278.0	247177973	0	0	nan	30321.0
2	5703	242669396	0.7258	0.2212	0.5932	66524.0
2	5703	121337549.0	0.9049	0.1144	0.5732	34106.0
2	5703	60671626.0	0	0	nan	19971.0
2	60671626.0	121337549.0	0.8867	0.0053	0.3181	14135.0
2	60671626.0	91004588.0	0	0	nan	7701.0
2	91004588.0	121337549.0	0.5456	0.0757	0.3071	6434.0
2	91004588.0	106171069.0	0.7537	0.0016	0.2389	2774.0
2	91004588.0	98587829.0	2.1614	0.0117	0.8571	470.0
2	91004588.0	94796209.0	0	0	1	nan
2	94796209.0	98587829.0	2.1614	0.0117	0.8571	470.0
2	94796209.0	96692019.0	1.9376	0.0136	0.7856	176.0
2	94796209.0	95744114.0	0	0	nan	67.0
2	95744114.0	96692019.0	1.4174	0.0098	0.5486	109.0
2	95744114.0	96218067.0	2.0639	0.0764	1.1646	37.0
2	96218067.0	96692019.0	0.8011	6.8677e-22	0.0833	72.0
2	96692019.0	98587829.0	1.6535	0.0096	0.6388	294.0
2	96692019.0	97639924.0	0	0	nan	79.0
2	97639924.0	98587829.0	0	0	nan	215.0
2	98587829.0	106171069.0	0.5069	0.1121	0.319	2304.0
2	98587829.0	102379449.0	1.656	0.0693	0.9118	1179.0
2	98587829.0	100483639.0	0.5695	6.5087e-06	0.1263	534.0
2	98587829.0	99535734.0	0	0	nan	211.0
2	99535734.0	100483639.0	0	0	nan	323.0
2	100483639.0	102379449.0	0	0	nan	645.0
2	102379449.0	106171069.0	-0.5753	0.3294	0.5899	1125.0
2	102379449.0	104275259.0	0	0	nan	449.0
2	104275259.0	106171069.0	0.5967	0.6427	1.2863	676.0
2	104275259.0	105223164.0	0	0	nan	212.0
2	105223164.0	106171069.0	-0.1923	0.7613	0.6331	464.0
2	105223164.0	105697117.0	0	0	nan	223.0
2	105697117.0	106171069.0	0	0	nan	241.0
2	106171069.0	121337549.0	0	0	nan	3660.0
2	121337549.0	242669396	0	0	nan	32418.0
3	36044	199322659	0.4174	0.1479	0.2885	54579.0
3	36044	99679351.0	0.7074	0.0516	0.3634	27557.0
3	36044	49857698.0	0.1027	0.746	0.317	15245.0
3	36044	24946871.0	-0.2386	0.5785	0.4295	8323.0
3	36044	12491458.0	-0.2697	0.5777	0.4844	4475.0
