chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	0	0	nan	65449.0
2	5703	242669396	-0.1152	0.7414	0.3492	69121.0
2	5703	121337549.0	-0.3409	0.479	0.4816	35592.0
2	5703	60671626.0	-1.066	0.3992	1.2645	20826.0
2	5703	30338665.0	0	0	nan	9631.0
2	30338665.0	60671626.0	0	0	nan	11195.0
2	60671626.0	121337549.0	0.0171	0.9686	0.4344	14766.0
2	60671626.0	91004588.0	0.0959	0.7973	0.3733	8122.0
2	60671626.0	75838107.0	0.1405	0.6563	0.3156	4528.0
2	60671626.0	68254867.0	0.2595	0.4617	0.3525	2334.0
2	60671626.0	64463247.0	0	0	nan	930.0
2	64463247.0	68254867.0	-1.2075	0.02	0.5192	1404.0
2	64463247.0	66359057.0	0	0	nan	640.0
2	66359057.0	68254867.0	-0.9293	0.0221	0.406	764.0
2	66359057.0	67306962.0	0	0	nan	314.0
2	67306962.0	68254867.0	-1.085	0.0036	0.3728	450.0
2	67306962.0	67780915.0	-0.9546	5.0249e-08	0.1751	258.0
2	67780915.0	68254867.0	-1.085	0.2165	0.878	192.0
2	68254867.0	75838107.0	-0.7462	0.425	0.9353	2194.0
2	68254867.0	72046487.0	0	0	nan	1201.0
2	72046487.0	75838107.0	-0.5944	0.2895	0.5611	993.0
2	72046487.0	73942297.0	0	0	nan	378.0
2	73942297.0	75838107.0	-0.1862	0.6166	0.3719	615.0
2	73942297.0	74890202.0	0	0	nan	237.0
2	74890202.0	75838107.0	0.2112	0.6867	0.5235	378.0
2	74890202.0	75364155.0	-1.6239	0.147	1.1199	142.0
2	75364155.0	75838107.0	1.0418	0.3474	1.1086	236.0
2	75838107.0	91004588.0	0	0	nan	3594.0
2	91004588.0	121337549.0	0	0	nan	6644.0
2	121337549.0	242669396	0.2106	0.726	0.6011	33529.0
2	121337549.0	182003473.0	0.9796	0.0648	0.5305	17049.0
2	121337549.0	151670511.0	0	0	nan	8119.0
2	151670511.0	182003473.0	0.6371	0.0985	0.3856	8930.0
2	151670511.0	166836992.0	0.693	0.0915	0.4107	4150.0
2	151670511.0	159253752.0	0	0	nan	2058.0
2	159253752.0	166836992.0	0.9717	0.0716	0.5394	2092.0
2	159253752.0	163045372.0	1.2046	0.0541	0.6255	1201.0
2	159253752.0	161149562.0	0	0	nan	714.0
2	161149562.0	163045372.0	0.641	0.0025	0.2119	487.0
2	161149562.0	162097467.0	0.6766	5.9386e-05	0.1685	293.0
2	161149562.0	161623515.0	0	0	nan	165.0
2	161623515.0	162097467.0	0.1529	0.7576	0.4955	128.0
2	162097467.0	163045372.0	0.4028	0.1482	0.2786	194.0
2	162097467.0	162571420.0	0	0	nan	140.0
2	162571420.0	163045372.0	0	0	nan	54.0
2	163045372.0	166836992.0	0.3413	0.6244	0.6969	891.0
2	163045372.0	164941182.0	0	0	nan	311.0
2	164941182.0	166836992.0	-0.0846	0.7209	0.2368	580.0
2	164941182.0	165889087.0	0.2224	0.7276	0.6385	237.0
2	164941182.0	165415135.0	0	0	nan	127.0
2	165415135.0	165889087.0	0.6027	0.0947	0.3607	110.0
2	165889087.0	166836992.0	0	0	nan	343.0
2	166836992.0	182003473.0	0	0	nan	4780.0
2	182003473.0	242669396	0	0	nan	16480.0
3	36044	199322659	0.0822	0.7116	0.2224	57413.0
