chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	0.5402	0.3269	0.5511	70150.0
1	742584	123960278.0	0.6437	0.239	0.5467	36450.0
1	742584	62351431.0	0	0	nan	17462.0
1	62351431.0	123960278.0	0.7097	0.1374	0.4778	18988.0
1	62351431.0	93155855.0	0	0	nan	10231.0
1	93155855.0	123960278.0	0.3249	0.2231	0.2667	8757.0
1	93155855.0	108558067.0	0.6378	0.4126	0.7784	4899.0
1	93155855.0	100856961.0	0.589	0.4083	0.7123	2730.0
1	93155855.0	97006408.0	0	0	nan	1378.0
1	97006408.0	100856961.0	3.6298	0.4704	5.0286	1352.0
1	97006408.0	98931685.0	0	0	nan	643.0
1	98931685.0	100856961.0	0	0	nan	709.0
1	100856961.0	108558067.0	0	0	nan	2169.0
1	108558067.0	123960278.0	0.3171	0.3003	0.3061	3858.0
1	108558067.0	116259173.0	0.1407	0.6099	0.2757	2664.0
1	108558067.0	112408620.0	0.0298	0.913	0.2731	1392.0
1	108558067.0	110483344.0	0.2102	0.2067	0.1664	448.0
1	108558067.0	109520706.0	-0.1584	0.3713	0.1772	171.0
1	108558067.0	109039387.0	0	0	nan	48.0
1	109039387.0	109520706.0	0	0	nan	123.0
1	109520706.0	110483344.0	0.4812	0.0593	0.2551	277.0
1	109520706.0	110002025.0	0	0	nan	163.0
1	110002025.0	110483344.0	0	0	nan	114.0
1	110483344.0	112408620.0	0	0	nan	944.0
1	112408620.0	116259173.0	0	0	nan	1272.0
1	116259173.0	123960278.0	0.7611	0.3889	0.8834	1194.0
1	116259173.0	120109726.0	0	0	nan	1121.0
1	120109726.0	123960278.0	0	0	nan	73.0
1	123960278.0	247177973	0	0	nan	33700.0
2	5703	242669396	0.123	0.8029	0.4927	73985.0
2	5703	121337549.0	0.1398	0.7256	0.3983	38017.0
2	5703	60671626.0	0	0	nan	22297.0
2	60671626.0	121337549.0	-0.1769	0.5762	0.3165	15720.0
2	60671626.0	91004588.0	0	0	nan	8664.0
2	91004588.0	121337549.0	-0.5868	0.0416	0.288	7056.0
2	91004588.0	106171069.0	-0.6141	0.0099	0.2381	3073.0
2	91004588.0	98587829.0	-1.0047	0.0024	0.3305	537.0
2	91004588.0	94796209.0	0	0	nan	1.0
2	94796209.0	98587829.0	-1.0099	0.0009	0.3036	536.0
2	94796209.0	96692019.0	-0.0767	0.6218	0.1554	192.0
2	94796209.0	95744114.0	0	0	nan	80.0
2	95744114.0	96692019.0	-0.478	0.0012	0.1473	112.0
2	95744114.0	96218067.0	0	0	nan	38.0
2	96218067.0	96692019.0	-0.3917	0.0002	0.1044	74.0
2	96692019.0	98587829.0	-1.2548	0.0056	0.4528	344.0
2	96692019.0	97639924.0	-0.4909	0.0002	0.1309	98.0
2	96692019.0	97165972.0	-0.5032	4.4643e-05	0.1233	83.0
2	97165972.0	97639924.0	0	0	nan	15.0
2	97639924.0	98587829.0	0	0	nan	246.0
2	98587829.0	106171069.0	-0.4714	0.1176	0.3012	2536.0
2	98587829.0	102379449.0	-1.1818	0.0071	0.4388	1310.0
2	98587829.0	100483639.0	-1.4167	1.7075e-07	0.2709	597.0
2	98587829.0	99535734.0	-1.9521	4.5832e-05	0.4789	247.0
2	98587829.0	99061782.0	-1.0046	4.2277e-08	0.1833	113.0
2	99061782.0	99535734.0	0	0	nan	134.0
2	99535734.0	100483639.0	0	0	nan	350.0
2	100483639.0	102379449.0	0	0	nan	713.0
2	102379449.0	106171069.0	0.4556	0.1613	0.3253	1226.0
2	102379449.0	104275259.0	1.1389	7.9474e-06	0.255	489.0
2	102379449.0	103327354.0	0	0	nan	283.0
2	103327354.0	104275259.0	0.8474	5.9269e-09	0.1456	206.0
2	103327354.0	103801307.0	1.1511	8.7754e-13	0.161	98.0
2	103801307.0	104275259.0	1.3158	0.5843	2.4049	108.0
2	104275259.0	106171069.0	0	0	nan	737.0
2	106171069.0	121337549.0	-0.2308	0.8723	1.436	3983.0
2	106171069.0	113754309.0	0	0	nan	1863.0
2	113754309.0	121337549.0	-0.3663	0.7112	0.9893	2120.0
2	113754309.0	117545929.0	0	0	nan	933.0
2	117545929.0	121337549.0	0	0	nan	1187.0
2	121337549.0	242669396	0	0	nan	35968.0
3	36044	199322659	-0.0407	0.8397	0.201	61254.0
3	36044	99679351.0	0.1702	0.4135	0.2081	31232.0
3	36044	49857698.0	0.2869	0.319	0.2879	17491.0
3	36044	24946871.0	0.5051	0.3463	0.5364	9669.0
3	36044	12491458.0	-0.0075	0.9925	0.7915	5328.0
3	12491458.0	24946871.0	1.096	0.0983	0.663	4341.0
3	12491458.0	18719165.0	0	0	nan	2061.0
3	18719165.0	24946871.0	1.1315	0.2385	0.9599	2280.0
3	18719165.0	21833018.0	0	0	nan	1084.0
3	21833018.0	24946871.0	0	0	nan	1196.0
3	24946871.0	49857698.0	0.0123	0.9695	0.3217	7822.0
3	24946871.0	37402285.0	0	0	nan	4179.0
3	37402285.0	49857698.0	-0.0462	0.8442	0.2349	3643.0
3	37402285.0	43629992.0	0	0	nan	1968.0
3	43629992.0	49857698.0	-0.2938	0.0519	0.1511	1675.0
3	43629992.0	46743845.0	-0.742	0.1169	0.4733	1018.0
3	43629992.0	45186919.0	0	0	nan	428.0
3	45186919.0	46743845.0	0.8842	0.2133	0.7104	590.0
3	45186919.0	45965382.0	0	0	nan	324.0
