chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	-0.3546	0.1302	0.2343	68715.0
1	742584	123960278.0	-0.4913	0.0853	0.2855	35524.0
1	742584	62351431.0	-1.0773	0.448	1.4199	17050.0
1	742584	31547008.0	0	0	nan	7976.0
1	31547008.0	62351431.0	-1.7049	0.4902	2.4707	9074.0
1	31547008.0	46949220.0	0	0	nan	4230.0
1	46949220.0	62351431.0	-1.8122	0.3631	1.9925	4844.0
1	46949220.0	54650326.0	-6.4794	0.603	12.4586	1895.0
1	46949220.0	50799773.0	0	0	nan	1063.0
1	50799773.0	54650326.0	-0.1675	0.7308	0.4868	832.0
1	50799773.0	52725050.0	-2.3648	0.0409	1.1564	255.0
1	50799773.0	51762412.0	0	0	nan	135.0
1	51762412.0	52725050.0	-0.7717	0.0324	0.3607	120.0
1	51762412.0	52243731.0	0	0	nan	57.0
1	52243731.0	52725050.0	-1.1352	0.0003	0.3114	63.0
1	52725050.0	54650326.0	0.6473	0.2154	0.5225	577.0
1	52725050.0	53687688.0	-0.0412	0.884	0.2823	293.0
1	52725050.0	53206369.0	0	0	nan	124.0
1	53206369.0	53687688.0	0.1226	0.6237	0.25	169.0
1	53687688.0	54650326.0	0	0	nan	284.0
1	54650326.0	62351431.0	0	0	nan	2949.0
1	62351431.0	123960278.0	-0.4296	0.24	0.3657	18474.0
1	62351431.0	93155855.0	-1.8675	0.4271	2.3518	9930.0
1	62351431.0	77753643.0	0	0	nan	4981.0
1	77753643.0	93155855.0	-1.6511	0.2038	1.2992	4949.0
1	77753643.0	85454749.0	0	0	nan	2509.0
1	85454749.0	93155855.0	-1.7714	0.2923	1.6819	2440.0
1	85454749.0	89305302.0	0	0	nan	1302.0
1	89305302.0	93155855.0	0	0	nan	1138.0
1	93155855.0	123960278.0	-0.045	0.8923	0.3321	8544.0
1	93155855.0	108558067.0	0.5488	0.4562	0.7366	4790.0
1	93155855.0	100856961.0	1.0582	0.1327	0.7037	2698.0
1	93155855.0	97006408.0	0	0	nan	1391.0
1	97006408.0	100856961.0	1.5078	0.0365	0.7209	1307.0
1	97006408.0	98931685.0	1.0345	0.0386	0.5003	605.0
1	97006408.0	97969047.0	0	0	nan	360.0
1	97969047.0	98931685.0	1.7783	0.0405	0.8682	245.0
1	97969047.0	98450366.0	0	0	nan	122.0
1	98450366.0	98931685.0	0	0	nan	123.0
1	98931685.0	100856961.0	0	0	nan	702.0
1	100856961.0	108558067.0	0	0	nan	2092.0
1	108558067.0	123960278.0	-0.9241	0.1488	0.6401	3754.0
1	108558067.0	116259173.0	-1.5947	0.6196	3.2121	2544.0
1	108558067.0	112408620.0	0	0	nan	1313.0
1	112408620.0	116259173.0	-0.5153	0.0574	0.2711	1231.0
1	112408620.0	114333897.0	-0.9606	3.3227e-05	0.2315	502.0
1	112408620.0	113371259.0	-0.2018	0.5999	0.3847	235.0
1	112408620.0	112889940.0	0	0	nan	153.0
