,symbol,acc,name,term_type,full_name
0,ARIH2,GO:0000209,protein polyubiquitination,biological_process,E3 ubiquitin-protein ligase ARIH2
1,ARIH2,GO:0006511,ubiquitin-dependent protein catabolic process,biological_process,E3 ubiquitin-protein ligase ARIH2
2,ARIH2,GO:0006511,ubiquitin-dependent protein catabolic process,biological_process,ARIH2 protein
3,ARIH2,GO:0007275,multicellular organism development,biological_process,E3 ubiquitin-protein ligase ARIH2
4,ARIH2,GO:0016567,protein ubiquitination,biological_process,E3 ubiquitin-protein ligase ARIH2
5,ARIH2,GO:0016567,protein ubiquitination,biological_process,ARIH2 protein
6,ARIH2,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,biological_process,E3 ubiquitin-protein ligase ARIH2
7,ARIH2,GO:0042787,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,biological_process,E3 ubiquitin-protein ligase ARIH2
8,ARIH2,GO:0048588,developmental cell growth,biological_process,E3 ubiquitin-protein ligase ARIH2
9,ARIH2,GO:0070534,protein K63-linked ubiquitination,biological_process,E3 ubiquitin-protein ligase ARIH2
10,ARIH2,GO:0070936,protein K48-linked ubiquitination,biological_process,E3 ubiquitin-protein ligase ARIH2
11,ARIH2,GO:0071425,hematopoietic stem cell proliferation,biological_process,E3 ubiquitin-protein ligase ARIH2
12,ARIH2,GO:1903955,positive regulation of protein targeting to mitochondrion,biological_process,E3 ubiquitin-protein ligase ARIH2
13,ARIH2,GO:0000151,ubiquitin ligase complex,cellular_component,E3 ubiquitin-protein ligase ARIH2
14,ARIH2,GO:0005634,nucleus,cellular_component,E3 ubiquitin-protein ligase ARIH2
15,ARIH2,GO:0005634,nucleus,cellular_component,ARIH2 protein
16,ARIH2,GO:0005737,cytoplasm,cellular_component,E3 ubiquitin-protein ligase ARIH2
17,ARIH2,GO:0005737,cytoplasm,cellular_component,ARIH2 protein
18,ARIH2,GO:0004842,ubiquitin-protein transferase activity,molecular_function,E3 ubiquitin-protein ligase ARIH2
19,ARIH2,GO:0004842,ubiquitin-protein transferase activity,molecular_function,ARIH2 protein
20,ARIH2,GO:0005515,protein binding,molecular_function,E3 ubiquitin-protein ligase ARIH2
21,ARIH2,GO:0008270,zinc ion binding,molecular_function,E3 ubiquitin-protein ligase ARIH2
22,ARIH2,GO:0008270,zinc ion binding,molecular_function,ARIH2 protein
23,ARIH2,GO:0016874,ligase activity,molecular_function,E3 ubiquitin-protein ligase ARIH2
24,ARIH2,GO:0031624,ubiquitin conjugating enzyme binding,molecular_function,E3 ubiquitin-protein ligase ARIH2
25,ARIH2,GO:0046872,metal ion binding,molecular_function,E3 ubiquitin-protein ligase ARIH2
26,ARIH2,GO:0046872,metal ion binding,molecular_function,ARIH2 protein
27,ARIH2,GO:0061630,ubiquitin protein ligase activity,molecular_function,E3 ubiquitin-protein ligase ARIH2
28,ARIH2OS,GO:0016020,membrane,cellular_component,Uncharacterized protein ARIH2OS
29,ARIH2OS,GO:0016021,integral component of membrane,cellular_component,Uncharacterized protein ARIH2OS
30,C3orf18,GO:0016020,membrane,cellular_component,Uncharacterized protein C3orf18
31,C3orf18,GO:0016020,membrane,cellular_component,"Chromosome 3 open reading frame 18, isoform CRA_a"
32,C3orf18,GO:0016021,integral component of membrane,cellular_component,Uncharacterized protein C3orf18
33,C3orf18,GO:0016021,integral component of membrane,cellular_component,"Chromosome 3 open reading frame 18, isoform CRA_a"
34,CACNA1D,GO:0006810,transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
35,CACNA1D,GO:0006810,transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
36,CACNA1D,GO:0006811,ion transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
37,CACNA1D,GO:0006811,ion transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
38,CACNA1D,GO:0006816,calcium ion transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
39,CACNA1D,GO:0006816,calcium ion transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
40,CACNA1D,GO:0007188,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
41,CACNA1D,GO:0007605,sensory perception of sound,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
42,CACNA1D,GO:0034765,regulation of ion transmembrane transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
43,CACNA1D,GO:0034765,regulation of ion transmembrane transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
44,CACNA1D,GO:0050796,regulation of insulin secretion,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
45,CACNA1D,GO:0051928,positive regulation of calcium ion transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
46,CACNA1D,GO:0055085,transmembrane transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
47,CACNA1D,GO:0055085,transmembrane transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
48,CACNA1D,GO:0060372,regulation of atrial cardiac muscle cell membrane repolarization,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
49,CACNA1D,GO:0061337,cardiac conduction,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
50,CACNA1D,GO:0070509,calcium ion import,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
51,CACNA1D,GO:0070588,calcium ion transmembrane transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
52,CACNA1D,GO:0070588,calcium ion transmembrane transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
53,CACNA1D,GO:0086012,membrane depolarization during cardiac muscle cell action potential,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
54,CACNA1D,GO:0086046,membrane depolarization during SA node cell action potential,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
55,CACNA1D,GO:0086091,regulation of heart rate by cardiac conduction,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
56,CACNA1D,GO:1901016,regulation of potassium ion transmembrane transporter activity,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
57,CACNA1D,GO:1901379,regulation of potassium ion transmembrane transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
58,CACNA1D,GO:0005886,plasma membrane,cellular_component,Voltage-dependent L-type calcium channel subunit alpha-1D
59,CACNA1D,GO:0005891,voltage-gated calcium channel complex,cellular_component,Voltage-dependent L-type calcium channel subunit alpha-1D
60,CACNA1D,GO:0005891,voltage-gated calcium channel complex,cellular_component,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
61,CACNA1D,GO:0016020,membrane,cellular_component,Voltage-dependent L-type calcium channel subunit alpha-1D
62,CACNA1D,GO:0016020,membrane,cellular_component,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
63,CACNA1D,GO:0016021,integral component of membrane,cellular_component,Voltage-dependent L-type calcium channel subunit alpha-1D
64,CACNA1D,GO:0016021,integral component of membrane,cellular_component,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
65,CACNA1D,GO:0030018,Z disc,cellular_component,Voltage-dependent L-type calcium channel subunit alpha-1D
66,CACNA1D,GO:1990454,L-type voltage-gated calcium channel complex,cellular_component,Voltage-dependent L-type calcium channel subunit alpha-1D
67,CACNA1D,GO:0005216,ion channel activity,molecular_function,Voltage-dependent L-type calcium channel subunit alpha-1D
68,CACNA1D,GO:0005216,ion channel activity,molecular_function,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
69,CACNA1D,GO:0005244,voltage-gated ion channel activity,molecular_function,Voltage-dependent L-type calcium channel subunit alpha-1D
70,CACNA1D,GO:0005244,voltage-gated ion channel activity,molecular_function,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
71,CACNA1D,GO:0005245,voltage-gated calcium channel activity,molecular_function,Voltage-dependent L-type calcium channel subunit alpha-1D
72,CACNA1D,GO:0005245,voltage-gated calcium channel activity,molecular_function,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
