,symbol,acc,name,term_type,full_name
0,ASL,GO:0000050,urea cycle,biological_process,Argininosuccinate lyase
1,ASL,GO:0006475,internal protein amino acid acetylation,biological_process,Argininosuccinate lyase
2,ASL,GO:0006526,arginine biosynthetic process,biological_process,Argininosuccinate lyase
3,ASL,GO:0006527,arginine catabolic process,biological_process,Argininosuccinate lyase
4,ASL,GO:0008652,cellular amino acid biosynthetic process,biological_process,Argininosuccinate lyase
5,ASL,GO:0042450,arginine biosynthetic process via ornithine,biological_process,Argininosuccinate lyase
6,ASL,GO:0042450,arginine biosynthetic process via ornithine,biological_process,Argininosuccinate lyase isoform 1
7,ASL,GO:0042450,arginine biosynthetic process via ornithine,biological_process,Argininosuccinate lyase isoform 2
8,ASL,GO:0042450,arginine biosynthetic process via ornithine,biological_process,Argininosuccinate lyase isoform 3
9,ASL,GO:0051262,protein tetramerization,biological_process,Argininosuccinate lyase
10,ASL,GO:0005737,cytoplasm,cellular_component,Argininosuccinate lyase
11,ASL,GO:0005829,cytosol,cellular_component,Argininosuccinate lyase
12,ASL,GO:0070062,extracellular exosome,cellular_component,Argininosuccinate lyase
13,ASL,GO:0003824,catalytic activity,molecular_function,Argininosuccinate lyase
14,ASL,GO:0003824,catalytic activity,molecular_function,Argininosuccinate lyase isoform 1
15,ASL,GO:0003824,catalytic activity,molecular_function,Argininosuccinate lyase isoform 2
16,ASL,GO:0003824,catalytic activity,molecular_function,Argininosuccinate lyase isoform 3
17,ASL,GO:0004056,argininosuccinate lyase activity,molecular_function,Argininosuccinate lyase
18,ASL,GO:0004056,argininosuccinate lyase activity,molecular_function,Argininosuccinate lyase isoform 1
19,ASL,GO:0004056,argininosuccinate lyase activity,molecular_function,Argininosuccinate lyase isoform 2
20,ASL,GO:0004056,argininosuccinate lyase activity,molecular_function,Argininosuccinate lyase isoform 3
21,ASL,GO:0005515,protein binding,molecular_function,Argininosuccinate lyase
22,ASL,GO:0016829,lyase activity,molecular_function,Argininosuccinate lyase
23,ASL,GO:0016829,lyase activity,molecular_function,Argininosuccinate lyase isoform 1
24,ASL,GO:0016829,lyase activity,molecular_function,Argininosuccinate lyase isoform 2
25,ASL,GO:0016829,lyase activity,molecular_function,Argininosuccinate lyase isoform 3
26,CACNA1D,GO:0006810,transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
27,CACNA1D,GO:0006810,transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
28,CACNA1D,GO:0006811,ion transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
29,CACNA1D,GO:0006811,ion transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
30,CACNA1D,GO:0006816,calcium ion transport,biological_process,Voltage-dependent L-type calcium channel subunit alpha-1D
31,CACNA1D,GO:0006816,calcium ion transport,biological_process,"Calcium channel, voltage-dependent, L type, alpha 1D subunit variant"
