chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	0	0	nan	63310.0
2	5703	242669396	0.4959	0.5543	0.8385	67501.0
2	5703	121337549.0	0.3344	0.5769	0.5994	34859.0
2	5703	60671626.0	0	0	nan	20366.0
2	60671626.0	121337549.0	0.2384	0.6233	0.4854	14493.0
2	60671626.0	91004588.0	0	0	nan	7958.0
2	91004588.0	121337549.0	0	0	nan	6535.0
2	121337549.0	242669396	0	0	nan	32642.0
3	36044	199322659	0.2373	0.488	0.3422	55805.0
3	36044	99679351.0	0.462	0.1542	0.3243	28279.0
3	36044	49857698.0	0.7329	0.2627	0.6544	15772.0
3	36044	24946871.0	0.3409	0.2809	0.3161	8648.0
3	36044	12491458.0	0.1534	0.7379	0.4586	4676.0
3	36044	6263751.0	0.2464	0.5455	0.4077	2371.0
3	36044	3149898.0	-0.4142	0.5471	0.688	1203.0
3	36044	1592971.0	0	0	nan	545.0
3	1592971.0	3149898.0	0	0	nan	658.0
3	3149898.0	6263751.0	1.0346	0.1162	0.6586	1168.0
3	3149898.0	4706825.0	2.2595	0.041	1.1058	653.0
3	3149898.0	3928362.0	0	0	nan	338.0
3	3928362.0	4706825.0	0	0	nan	315.0
3	4706825.0	6263751.0	0.1914	0.6152	0.3807	515.0
3	4706825.0	5485288.0	-0.0453	0.8718	0.2803	214.0
3	4706825.0	5096057.0	0	0	nan	130.0
3	5096057.0	5485288.0	0	0	nan	84.0
3	5485288.0	6263751.0	1.2131	0.5124	1.8519	301.0
3	5485288.0	5874520.0	0	0	nan	116.0
3	5874520.0	6263751.0	0	0	nan	185.0
3	6263751.0	12491458.0	0	0	nan	2305.0
3	12491458.0	24946871.0	0.5188	0.1465	0.3573	3972.0
3	12491458.0	18719165.0	0	0	nan	1865.0
3	18719165.0	24946871.0	0.2244	0.4401	0.2907	2107.0
3	18719165.0	21833018.0	0.0314	0.9238	0.3286	1012.0
3	18719165.0	20276092.0	0.4659	0.0581	0.2458	351.0
3	18719165.0	19497629.0	0	0	nan	119.0
3	19497629.0	20276092.0	0.9544	0.0177	0.4024	232.0
3	19497629.0	19886861.0	0.7302	0.0098	0.2827	64.0
3	19886861.0	20276092.0	1.2757	0.0464	0.6407	168.0
3	20276092.0	21833018.0	0	0	nan	661.0
3	21833018.0	24946871.0	0	0	nan	1095.0
3	24946871.0	49857698.0	0	0	nan	7124.0
3	49857698.0	99679351.0	0.4689	0.2608	0.417	12507.0
3	49857698.0	74768525.0	0.1171	0.6379	0.2488	8157.0
3	49857698.0	62313112.0	0.1985	0.3063	0.194	4270.0
3	49857698.0	56085405.0	0.0581	0.8003	0.2299	1881.0
3	49857698.0	52971552.0	0.6344	0.0388	0.307	747.0
3	49857698.0	51414625.0	0	0	nan	406.0
3	51414625.0	52971552.0	0.4282	0.33	0.4396	341.0
3	51414625.0	52193089.0	0	0	nan	89.0
3	52193089.0	52971552.0	0.2235	0.9203	2.2336	252.0
3	52193089.0	52582321.0	-0.0906	0.9149	0.848	133.0
3	52582321.0	52971552.0	0	0	nan	119.0
3	52971552.0	56085405.0	-0.3335	0.384	0.3831	1134.0
3	52971552.0	54528479.0	0.649	0.2027	0.5095	507.0
3	52971552.0	53750016.0	0	0	nan	232.0
3	53750016.0	54528479.0	0	0	nan	275.0
3	54528479.0	56085405.0	-2.2208	0.1395	1.5031	627.0
3	54528479.0	55306942.0	0	0	nan	352.0
3	55306942.0	56085405.0	0	0	nan	275.0
3	56085405.0	62313112.0	0.291	0.2084	0.2313	2389.0
3	56085405.0	59199259.0	-0.0254	0.8683	0.1532	929.0
3	56085405.0	57642332.0	0	0	nan	535.0
3	57642332.0	59199259.0	0.3414	0.0479	0.1726	394.0
3	57642332.0	58420796.0	0.6442	0.0018	0.2061	284.0
3	57642332.0	58031564.0	0.8831	0.1253	0.5761	108.0
3	58031564.0	58420796.0	0	0	nan	176.0
3	58420796.0	59199259.0	0	0	nan	110.0
3	59199259.0	62313112.0	0	0	nan	1460.0
3	62313112.0	74768525.0	0	0	nan	3887.0
3	74768525.0	99679351.0	0	0	nan	4350.0
3	99679351.0	199322659	0	0	nan	27526.0
4	59713	191184445	1.4444	0.6466	3.1503	48591.0
4	59713	95622079.0	0	0	nan	24814.0
4	95622079.0	191184445	1.389	0.6855	3.4294	23777.0
4	95622079.0	143403262.0	0	0	nan	11968.0
4	143403262.0	191184445	0	0	nan	11809.0
5	89344	179998061	0	0	nan	51900.0
6	94609	169999770	0	0	nan	49043.0
7	140018	158812247	-0.4101	0.3866	0.4737	42237.0
7	140018	79476132.0	-0.5535	0.2391	0.4702	22361.0
7	140018	39808075.0	-1.1263	0.429	1.4241	13372.0
7	140018	19974047.0	0	0	nan	5808.0
7	19974047.0	39808075.0	0	0	nan	7564.0
7	39808075.0	79476132.0	-0.3463	0.4003	0.4117	8989.0
7	39808075.0	59642104.0	0	0	nan	5530.0
7	59642104.0	79476132.0	0	0	nan	3459.0
7	79476132.0	158812247	0	0	nan	19876.0
8	151222	146264218	0	0	nan	43859.0
9	30910	139999801	0.1662	0.8092	0.6881	35187.0
9	30910	70015355.0	0.08	0.8627	0.4625	13671.0
9	30910	35023133.0	0.0441	0.9014	0.3558	12580.0
9	30910	17527022.0	0.2458	0.5885	0.4544	7105.0
9	30910	8778966.0	0	0	nan	3927.0
9	8778966.0	17527022.0	0.2362	0.6377	0.5015	3178.0
9	8778966.0	13152994.0	1.2561	0.0907	0.7426	1540.0
9	8778966.0	10965980.0	0	0	nan	814.0
9	10965980.0	13152994.0	0.5472	0.0068	0.2023	726.0
9	10965980.0	12059487.0	1.4556	0.0001	0.3761	343.0
9	10965980.0	11512734.0	1.5333	0.0069	0.5673	215.0
9	10965980.0	11239357.0	0	0	nan	124.0
9	11239357.0	11512734.0	0.426	0.1689	0.3097	91.0
9	11512734.0	12059487.0	1.0684	1.4723e-10	0.1667	128.0
9	11512734.0	11786111.0	0.5793	0.0002	0.1547	92.0
9	11786111.0	12059487.0	0	0	nan	36.0
9	12059487.0	13152994.0	0	0	nan	383.0
9	13152994.0	17527022.0	-0.7687	0.3313	0.7913	1638.0
9	13152994.0	15340008.0	0	0	nan	814.0
9	15340008.0	17527022.0	-0.0799	0.7793	0.285	824.0
9	15340008.0	16433515.0	1.1831	0.0018	0.3784	425.0
9	15340008.0	15886762.0	0.7219	2.3545e-06	0.1529	142.0
9	15340008.0	15613385.0	0.6673	0.0012	0.206	62.0
9	15613385.0	15886762.0	0	0	nan	80.0
9	15886762.0	16433515.0	0	0	nan	283.0
9	16433515.0	17527022.0	-0.9098	0.0001	0.2394	399.0
