chromosome 	 region_start 	 region_end 	 correlation 	 pvalue 	 std_err 	 SNPs 
1	742584	247177973	0	0	nan	61305.0
2	5703	242669396	-0.2177	0.5151	0.3344	64894.0
2	5703	121337549.0	0.0081	0.9813	0.3459	33345.0
2	121337549.0	242669396	-0.5469	0.498	0.807	31549.0
2	121337549.0	182003473.0	0	0	nan	16107.0
2	182003473.0	242669396	-0.5119	0.6577	1.1553	15442.0
2	182003473.0	212336435.0	-0.6617	0.4834	0.9443	7337.0
2	182003473.0	197169954.0	-0.841	0.0816	0.4829	3219.0
2	182003473.0	189586714.0	-0.5424	0.0426	0.2676	1781.0
2	182003473.0	185795094.0	0	0	nan	930.0
2	185795094.0	189586714.0	-1.0535	0.0005	0.3036	851.0
2	185795094.0	187690904.0	-1.1372	0.0007	0.3337	460.0
2	185795094.0	186742999.0	0	0	nan	223.0
2	186742999.0	187690904.0	0	0	nan	237.0
2	187690904.0	189586714.0	0	0	nan	391.0
2	189586714.0	197169954.0	0	0	nan	1438.0
2	197169954.0	212336435.0	0	0	nan	4118.0
2	212336435.0	242669396	-0.6269	0.7321	1.8313	8105.0
2	212336435.0	227502916.0	0	0	nan	4240.0
2	227502916.0	242669396	0.1503	0.5426	0.2468	3865.0
2	227502916.0	235086156.0	0.8518	0.0306	0.394	2173.0
2	227502916.0	231294536.0	0	0	nan	1022.0
2	231294536.0	235086156.0	0.3877	0.1159	0.2466	1151.0
2	231294536.0	233190346.0	0	0	nan	451.0
2	233190346.0	235086156.0	0.8527	0.0152	0.3513	700.0
2	233190346.0	234138251.0	0.6109	0.5023	0.9107	311.0
2	233190346.0	233664299.0	0	0	nan	168.0
2	233664299.0	234138251.0	0	0	nan	143.0
2	234138251.0	235086156.0	0.3907	0.0227	0.1714	389.0
2	234138251.0	234612204.0	0	0	nan	277.0
2	234612204.0	235086156.0	0	0	nan	112.0
2	235086156.0	242669396	-0.2512	0.3612	0.2751	1692.0
2	235086156.0	238877776.0	-0.0558	0.8482	0.2915	939.0
2	235086156.0	236981966.0	0.9351	0.1924	0.7174	456.0
2	235086156.0	236034061.0	0	0	nan	290.0
2	236034061.0	236981966.0	0.5738	0.2584	0.5078	166.0
2	236034061.0	236508014.0	0	0	nan	93.0
2	236508014.0	236981966.0	0.6539	0.0189	0.2785	73.0
2	236981966.0	238877776.0	-1.0493	0.0001	0.2746	483.0
2	236981966.0	237929871.0	-1.5878	2.2426e-06	0.3357	254.0
2	236981966.0	237455919.0	-0.1848	0.7871	0.684	72.0
2	237455919.0	237929871.0	-2.131	0.0429	1.0524	182.0
2	237929871.0	238877776.0	-0.3158	0.1922	0.2422	229.0
2	237929871.0	238403824.0	0	0	nan	133.0
2	238403824.0	238877776.0	-1.6457	0.0156	0.6807	96.0
2	238877776.0	242669396	0	0	nan	753.0
3	36044	199322659	0.1613	0.7284	0.4647	53663.0
3	36044	99679351.0	0.4406	0.3199	0.443	27098.0
3	36044	49857698.0	-0.2738	0.6995	0.7093	15010.0
3	36044	24946871.0	-1.1544	0.0621	0.6187	8166.0
3	36044	12491458.0	-1.6579	0.221	1.3546	4382.0
3	36044	6263751.0	-1.5711	0.479	2.2191	2168.0
3	36044	3149898.0	0	0	nan	1092.0
3	3149898.0	6263751.0	-1.4556	0.3136	1.4445	1076.0
3	3149898.0	4706825.0	0	0	nan	638.0
3	4706825.0	6263751.0	-0.9697	0.19	0.7399	438.0
3	4706825.0	5485288.0	1.1879	0.1563	0.838	154.0
3	4706825.0	5096057.0	0.9035	0.3059	0.8824	105.0
3	5096057.0	5485288.0	0.6768	0.0137	0.2747	49.0
3	5485288.0	6263751.0	-2.2146	0.1431	1.5125	284.0
3	5485288.0	5874520.0	0	0	nan	114.0
3	5874520.0	6263751.0	0	0	nan	170.0
3	6263751.0	12491458.0	-1.4993	0.1471	1.0342	2214.0
3	6263751.0	9377605.0	-0.5791	0.1512	0.4034	1230.0
3	6263751.0	7820678.0	-0.5875	0.1204	0.3783	611.0
3	6263751.0	7042215.0	-0.4235	0.0285	0.1933	228.0
3	6263751.0	6652983.0	-1.0967	0.1645	0.789	130.0
3	6652983.0	7042215.0	0	0	nan	98.0
3	7042215.0	7820678.0	0	0	nan	383.0
3	7820678.0	9377605.0	-0.5088	0.3578	0.5533	619.0
